#,,,,,
#,,,,,
#,,Data,,,
Community,Data Year,Sum - Residential Megawatthours,Sum - Commercial Megawatthours,Sum - Industrial Megawatthours,Sum - Total Megawatthours
Akiachak,2003,405,582,0,987
Akiachak,2004,424,615,0,1039
Akiachak,2005,424,632,0,1056
Akiachak,2006,524,1025,86,1635
Akiachak,2007,549,1050,111,1710
Akiachak,2008,541,907,113,1561
Akiachak,2009,580,925,125,1630
Akiachak,2010,576,921,121,1618
Akiachak,2011,597,1096,0,1693
Akutan,2003,500,0,0,500
Akutan,2004,523,0,0,523
Akutan,2005,184,305,0,489
Akutan,2006,202,301,0,503
Akutan,2007,200,321,0,521
Akutan,2008,206,199,0,405
Akutan,2009,193,320,0,513
Akutan,2010,213,308,0,521
Akutan,2011,207,284,,491
Anchorage,2003,696780,1329286,41033,2067099
Anchorage,2004,721854,1420706,37756,2180316
Anchorage,2005,706915,1472745,37557,2217217
Anchorage,2006,713224,1573973,45948,2333145
Anchorage,2007,704327,1562631,44129,2311087
Anchorage,2008,708482,1580295,35807,2324584
Anchorage,2009,699383,1567840,32446,2299669
Anchorage,2010,688596,1544199,45415,2278210
Anchorage,2011,688973,1535451,53555,2277979
Anchorage,2012,696537,1528160,54804,2279501
Anchorage,2013,674255,1481184,54395,2209834
Anchorage,2014,647159,1442954,57198,2147311
Aniak,2003,921,1102,0,2023
Aniak,2004,903,1133,0,2036
Aniak,2005,917,1232,0,2149
Aniak,2006,906,1240,0,2146
Aniak,2007,902,1219,0,2121
Aniak,2008,929,1171,0,2100
Aniak,2009,936,1162,,2098
Aniak,2010,986,1241,,2227
Aniak,2011,950,1194,0,2144
AP&T,2003,22161,39879,0,62040
AP&T,2004,22531,40535,0,63066
AP&T,2005,22518,41303,0,63821
AP&T,2006,23119,41879,0,64998
AP&T,2007,23238,43241,0,66479
AP&T,2008,23131,43036,0,66167
AP&T,2009,23894,42732,,66626
AP&T,2010,23648,40930,,64578
AP&T,2011,24241,41673,,65914
AP&T,2012,24391,40397,0,64788
AP&T,2013,24475,40728,0,65203
AP&T,2014,24116,38952,0,63068
Atka,2008,61,162,,223
Atka,2009,120,257,,377
Atka,2010,146,270,,416
Atka,2011,163,234,,397
Atmautluak,2003,258,235,169,662
Atmautluak,2004,272,263,0,535
Atmautluak,2005,219,211,0,430
Atmautluak,2006,259,257,0,516
Atmautluak,2007,275,116,,391
Atmautluak,2008,275,137,0,412
Atmautluak,2009,274,69,57,400
Atmautluak,2010,278,284,0,562
Atmautluak,2011,277,285,,562
AVEC,2003,26343,34676,0,61019
AVEC,2004,26749,35185,0,61934
AVEC,2005,26681,35527,0,62208
AVEC,2006,27046,36797,0,63843
AVEC,2007,27321,37149,0,64470
AVEC,2008,28334,39721,0,68055
AVEC,2009,29148,39907,,69055
AVEC,2010,29204,40680,,69884
AVEC,2011,29737,41893,,71630
AVEC,2012,31085,42871,,73956
AVEC,2013,30829,42820,,73649
AVEC,2014,35665,62209,,97874
Barrow,2003,11000,34000,0,45000
Barrow,2004,10970,30433,0,41403
Barrow,2005,10587,33841,0,44428
Barrow,2006,10664,30289,0,40953
Barrow,2007,10316,33875,0,44191
Barrow,2008,10827,35411,0,46238
Barrow,2009,10909,37181,,48090
Barrow,2010,11114,38129,,49243
Barrow,2011,11253,38799,,50052
Barrow,2012,11511,38069,,49580
Barrow,2013,11865,38387,,50252
Barrow,2014,11679,39665,,51344
Bethel,2003,10105,29278,0,39383
Bethel,2004,10228,29614,0,39842
Bethel,2005,10245,29326,0,39571
Bethel,2006,9841,28636,0,38477
Bethel,2007,10042,28778,0,38820
Bethel,2008,10096,28742,0,38838
