Community Name,Distance,Reference Community,Peak Month % of total,Capacity Factor,Minimum Temp,Avg. Temp (F) JUL,Avg. Temp (F) AUG,Avg. Temp (F) SEP,Avg. Temp (F) OCT,Avg. Temp (F) NOV,Avg. Temp (F) DEC,Avg. Temp (F) JAN,Avg. Temp (F) FEB,Avg. Temp (F) MAR,Avg. Temp (F) APR,Avg. Temp (F) MAY,Avg. Temp (F) JUN,% Heating Load JUL,% Heating Load AUG,% Heating Load SEP,% Heating Load OCT,% Heating Load NOV,% Heating Load DEC,% Heating Load JAN,% Heating Load FEB,% Heating Load MAR,% Heating Load APR,% Heating Load MAY,% Heating Load JUN
Adak,442.9085534,Saint PAUL,0.115612738,0.71609064,23.07142857,46.64516129,48.29032258,44.9,38.29032258,33.1,28.80645161,25.64516129,23.07142857,24.12903226,28.43333333,35.61290323,41.9,0.051920796,0.047267086,0.055023269,0.075554339,0.087325486,0.102381604,0.111324026,0.107126563,0.115612738,0.100100374,0.083128023,0.063235697
Adak Station,444.8222729,Saint PAUL,0.115612738,0.71609064,23.07142857,46.64516129,48.29032258,44.9,38.29032258,33.1,28.80645161,25.64516129,23.07142857,24.12903226,28.43333333,35.61290323,41.9,0.051920796,0.047267086,0.055023269,0.075554339,0.087325486,0.102381604,0.111324026,0.107126563,0.115612738,0.100100374,0.083128023,0.063235697
Afognak,20.17769573,KODIAK,0.122581367,0.692858214,29.64516129,54.06451613,55,49.4,40.29032258,33.96666667,30.58064516,29.64516129,29.89285714,32.51612903,37.23333333,43.48387097,49.2,0.037915222,0.034671737,0.052343138,0.085672744,0.104127055,0.119337882,0.122581367,0.109942959,0.112627223,0.093166312,0.074600157,0.053014204
Akhiok,88.64829303,KODIAK,0.122581367,0.692858214,29.64516129,54.06451613,55,49.4,40.29032258,33.96666667,30.58064516,29.64516129,29.89285714,32.51612903,37.23333333,43.48387097,49.2,0.037915222,0.034671737,0.052343138,0.085672744,0.104127055,0.119337882,0.122581367,0.109942959,0.112627223,0.093166312,0.074600157,0.053014204
Akiachak,13.28915898,BETHEL,0.141984494,0.598174523,6.516129032,55.96774194,53.5483871,45.43333333,30,17.4,9.387096774,6.516129032,7.571428571,14.48387097,25.83333333,41.19354839,51.33333333,0.021928107,0.027801707,0.04597071,0.084971415,0.111833346,0.135014488,0.141984494,0.125929987,0.122640771,0.092019735,0.057796225,0.032109014
Akiak,20.21858702,BETHEL,0.141984494,0.598174523,6.516129032,55.96774194,53.5483871,45.43333333,30,17.4,9.387096774,6.516129032,7.571428571,14.48387097,25.83333333,41.19354839,51.33333333,0.021928107,0.027801707,0.04597071,0.084971415,0.111833346,0.135014488,0.141984494,0.125929987,0.122640771,0.092019735,0.057796225,0.032109014
Akutan,142.9605415,COLD BAY,0.117853457,0.709296246,27.57142857,50.58064516,51.80645161,47.73333333,40.03225806,34.5,31,28.16129032,27.57142857,30,33.5,39.83870968,45.9,0.046130031,0.042208462,0.053457172,0.079876161,0.094427245,0.10877193,0.117853457,0.108152735,0.111971104,0.09752322,0.080495356,0.059133127
Alakanuk,127.2744693,NOME,0.132870169,0.637408875,5.607142857,52.51612903,50.61290323,42.86666667,28.41935484,16.86666667,8.35483871,5.774193548,5.607142857,9.290322581,19.63333333,37.03225806,47.23333333,0.028006947,0.03227674,0.048053264,0.082066869,0.104501375,0.127080619,0.132870169,0.120350268,0.124981908,0.098494717,0.062744247,0.038572876
Alatna,40.82597873,BETTLES,0.154001433,0.551498161,-11.29032258,59.51612903,53.19354839,40.96666667,18.64516129,-0.833333333,-7.419354839,-11.29032258,-7.892857143,4.096774194,22.33333333,44.29032258,57.43333333,0.01106987,0.02383278,0.046949274,0.093572963,0.128605847,0.146187406,0.154001433,0.132903562,0.122940679,0.083349613,0.04180504,0.014781533
Alcan Border,141.5003463,GULKANA,0.156773212,0.541747573,-4.774193548,56.93548387,53.06451613,43.06666667,26.32258065,5.466666667,-1.580645161,-4.774193548,3.107142857,15.22580645,31.06666667,43.87096774,53.06666667,0.018119881,0.026817424,0.047691527,0.08690295,0.129448431,0.149597739,0.156773212,0.125607016,0.111835906,0.073784156,0.047474089,0.02594767
