Community Name,Distance,Reference Community,Peak Month % of total,Capacity Factor
Adak,443,Saint PAUL,0.12,0.72
Adak Station,445,Saint PAUL,0.12,0.72
Afognak,20,KODIAK,0.12,0.69
Akhiok,89,KODIAK,0.12,0.69
Akiachak,13,BETHEL,0.14,0.6
Akiak,20,BETHEL,0.14,0.6
Akutan,143,COLD BAY,0.12,0.71
Alakanuk,127,NOME,0.13,0.64
Alatna,41,BETTLES,0.15,0.55
Alcan Border,142,GULKANA,0.16,0.54
Aleknagik,81,King Salmon,0.14,0.61
Aleneva,23,KODIAK,0.12,0.69
Alexander Creek,27,ANCHORAGE,0.15,0.58
Allakaket,39,BETTLES,0.15,0.55
Alpine,148,BARROW,0.12,0.67
Ambler,128,KOTZEBUE,0.13,0.63
Anaktuvuk Pass,85,BETTLES,0.15,0.55
Anchor Point,13,HOMER,0.13,0.65
Anchorage,0,ANCHORAGE,0.15,0.58
Anderson,102,BIG DELTA,0.16,0.54
Andreafsky,98,BETHEL,0.14,0.6
Angoon,56,JUNEAU,0.14,0.6
Aniak,0,ANNETTE,0.13,0.63
Anton Larsen Bay,10,KODIAK,0.12,0.69
Anvik,77,ANNETTE,0.13,0.63
Arctic Village,179,BETTLES,0.15,0.55
Atka,374,Saint PAUL,0.12,0.72
Atmautluak,17,BETHEL,0.14,0.6
Atqasuk,58,BARROW,0.12,0.67
Attu Station,718,Saint PAUL,0.12,0.72
Auke Bay,11,JUNEAU,0.14,0.6
Ayakulik,90,KODIAK,0.12,0.69
Badger,65,BIG DELTA,0.16,0.54
Barrow,0,BARROW,0.12,0.67
Bear Creek,74,ANCHORAGE,0.15,0.58
Beaver,119,BETTLES,0.15,0.55
Belkofski,28,COLD BAY,0.12,0.71
Beluga,38,ANCHORAGE,0.15,0.58
Bethel,0,BETHEL,0.14,0.6
Bettles,0,BETTLES,0.15,0.55
Big Delta,0,BIG DELTA,0.16,0.54
Big Lake,23,ANCHORAGE,0.15,0.58
Big Salt,196,JUNEAU,0.14,0.6
Bill Moore's Slough,104,UNALAKLEET,0.14,0.61
Birch Creek,146,BIG DELTA,0.16,0.54
Birchwood,19,ANCHORAGE,0.15,0.58
Boundary,146,BIG DELTA,0.16,0.54
Brevig Mission,66,NOME,0.13,0.64
Buckland,75,KOTZEBUE,0.13,0.63
Buffalo Soapstone,44,ANCHORAGE,0.15,0.58
Butte,37,ANCHORAGE,0.15,0.58
Candle,70,KOTZEBUE,0.13,0.63
Cantwell,83,TALKEETNA,0.15,0.57
Canyon Village,233,BIG DELTA,0.16,0.54
Cape Lisburne,166,KOTZEBUE,0.13,0.63
Cape Yakataga,101,YAKUTAT,0.13,0.65
Caswell,23,TALKEETNA,0.15,0.57
Central,103,BIG DELTA,0.16,0.54
Chalkyitsik,183,BIG DELTA,0.16,0.54
Chase,9,TALKEETNA,0.15,0.57
Chatanika,82,BIG DELTA,0.16,0.54
Chefornak,96,BETHEL,0.14,0.6
Chena Hot Springs,63,BIG DELTA,0.16,0.54
Chena Ridge,79,BIG DELTA,0.16,0.54
Chenega,87,FAIRBANKS,0.17,0.51
Chevak,137,BETHEL,0.14,0.6
Chickaloon,60,ANCHORAGE,0.15,0.58
Chicken,118,BIG DELTA,0.16,0.54
Chignik,178,King Salmon,0.14,0.61
Chignik Lagoon,179,King Salmon,0.14,0.61
Chignik Lake,170,COLD BAY,0.12,0.71
Chiniak,14,KODIAK,0.12,0.69
Chisana,109,GULKANA,0.16,0.54
Chistochina,31,GULKANA,0.16,0.54
Chitina,60,GULKANA,0.16,0.54
Chuathbaluk,10,ANNETTE,0.13,0.63
Chugiak,16,ANCHORAGE,0.15,0.58
Chuloonawick,113,NOME,0.13,0.64
Circle,127,BIG DELTA,0.16,0.54
Circle Hot Springs,99,BIG DELTA,0.16,0.54
Clam Gulch,41,HOMER,0.13,0.65
Clark's Point,68,King Salmon,0.14,0.61
Clear,101,BIG DELTA,0.16,0.54
Coffman Cove,169,JUNEAU,0.14,0.6
Cohoe,51,HOMER,0.13,0.65
Cold Bay,0,COLD BAY,0.12,0.71
Coldfoot,43,BETTLES,0.15,0.55
Cooper Landing,50,ANCHORAGE,0.15,0.58
Copper Center,22,GULKANA,0.16,0.54
Copperville,14,GULKANA,0.16,0.54
Cordova,4,FAIRBANKS,0.17,0.51
Council,57,NOME,0.13,0.64
Covenant Life,94,JUNEAU,0.14,0.6
Craig,201,JUNEAU,0.14,0.6
Crooked Creek,51,ANNETTE,0.13,0.63
Cube Cove,28,JUNEAU,0.14,0.6
Deering,57,KOTZEBUE,0.13,0.63
Delta Junction,8,BIG DELTA,0.16,0.54
Deltana,27,BIG DELTA,0.16,0.54
Dillingham,69,King Salmon,0.14,0.61
Diomede,135,NOME,0.13,0.64
Dot Lake,63,BIG DELTA,0.16,0.54
Dot Lake Village,64,BIG DELTA,0.16,0.54
Douglas,2,JUNEAU,0.14,0.6
Dry Creek,50,BIG DELTA,0.16,0.54
Dyea,88,JUNEAU,0.14,0.6
Eagle,145,BIG DELTA,0.16,0.54
Eagle Village,147,BIG DELTA,0.16,0.54
Edna Bay,165,JUNEAU,0.14,0.6
Eek,41,BETHEL,0.14,0.6
Egegik,42,King Salmon,0.14,0.61
Ekuk,68,King Salmon,0.14,0.61
Ekwok,54,King Salmon,0.14,0.61
Elfin Cove,71,JUNEAU,0.14,0.6
Elim,67,UNALAKLEET,0.14,0.61
Emmonak,122,NOME,0.13,0.64
Eureka Roadhouse,62,VALDEZ,0.14,0.62
Evansville,1,BETTLES,0.15,0.55
Excursion Inlet,38,JUNEAU,0.14,0.6
Eyak,0,FAIRBANKS,0.17,0.51
False Pass,37,COLD BAY,0.12,0.71
Ferry,99,BIG DELTA,0.16,0.54
Fishhook,39,ANCHORAGE,0.15,0.58
Flat,78,ANNETTE,0.13,0.63
Fort Glenn,244,COLD BAY,0.12,0.71
Fort Greely,11,BIG DELTA,0.16,0.54
Fort Yukon,168,BIG DELTA,0.16,0.54
Four Mile Road,103,BIG DELTA,0.16,0.54
Fox River,27,HOMER,0.13,0.65
Fritz Creek,11,HOMER,0.13,0.65
Funny River,57,ANCHORAGE,0.15,0.58
Gakona,3,GULKANA,0.16,0.54
Galena,130,UNALAKLEET,0.14,0.61
Gambell,197,NOME,0.13,0.64
