Community,Region,Biomass ($/Cord),Pellets ($/ton),Source
Adak,Aleutians,N/A,400,Regional Average
Akhiok,Kodiak,N/A,400,Regional Average
Akiachak,Lower Yukon-Kuskokwim,550,400,Regional Average
Akiak,Lower Yukon-Kuskokwim,550,400,Regional Average
Akutan,Aleutians,N/A,400,Regional Average
Alakanuk,Lower Yukon-Kuskokwim,550,400,Regional Average
Alatna,Yukon-Koyukuk/Upper Tanana,400,400,TCC Energy Assistance
Aleknagik,Bristol Bay,550,400,Regional Average
Allakaket,Yukon-Koyukuk/Upper Tanana,350,400,TCC Energy Assistance
Anaktuvuk Pass,North Slope,N/A,400,Regional Average
Anchor Point,Railbelt,276,400,Regional Average
Anchorage,Railbelt,250,300,Cal Kerr (Northern Economics)
Anderson,Railbelt,276,400,Regional Average
Angoon,Southeast,205,400,Regional Average
Aniak,Lower Yukon-Kuskokwim,550,400,Regional Average
Anvik,Yukon-Koyukuk/Upper Tanana,350,400,TCC Energy Assistance
Arctic Village,Yukon-Koyukuk/Upper Tanana,480,400,TCC Energy Assistance
Atka,Aleutians,N/A,400,Regional Average
Atmautluak,Lower Yukon-Kuskokwim,550,400,Regional Average
Atqasuk,North Slope,N/A,400,Regional Average
Auke Bay,Southeast,205,400,Regional Average
Barrow,North Slope,N/A,400,Regional Average
Beaver,Yukon-Koyukuk/Upper Tanana,250,400,TCC Energy Assistance
Bethel,Lower Yukon-Kuskokwim,600,400,Orutsaramiut Native Council
Bettles,Yukon-Koyukuk/Upper Tanana,334,400,Regional Average
Big Lake,Railbelt,276,400,Regional Average
Birch Creek,Yukon-Koyukuk/Upper Tanana,334,400,Regional Average
Brevig Mission,Bering Straits,210,400,Regional Average
Buckland,Northwest Arctic,550,400,Regional Average
Cantwell,Railbelt,276,400,Regional Average
Central,Yukon-Koyukuk/Upper Tanana,334,400,Regional Average
Chalkyitsik,Yukon-Koyukuk/Upper Tanana,360,400,TCC Energy Assistance
Chefornak,Lower Yukon-Kuskokwim,550,400,Regional Average
Chena Hot Springs,Yukon-Koyukuk/Upper Tanana,334,400,Regional Average
Chenega Bay,Copper River/Chugach,300,400,Regional Average
Chevak,Lower Yukon-Kuskokwim,550,400,Regional Average
Chickaloon,Railbelt,276,400,Regional Average
Chicken,Yukon-Koyukuk/Upper Tanana,334,400,Regional Average
Chignik,Bristol Bay,550,400,Regional Average
Chignik Lake,Bristol Bay,550,400,Regional Average
Chiniak,Kodiak,N/A,400,Regional Average
Chistochina,Copper River/Chugach,300,400,Regional Average
Chitina,Copper River/Chugach,300,400,Regional Average
Chuathbaluk,Lower Yukon-Kuskokwim,550,400,Regional Average
Chugiak,Railbelt,276,400,Regional Average
Circle,Yukon-Koyukuk/Upper Tanana,400,400,TCC Energy Assistance
Clam Gulch,Railbelt,276,400,Regional Average
Clark's Point,Bristol Bay,550,400,Regional Average
Clear,Railbelt,276,400,Regional Average
Coffman Cove,Southeast,200,400,Cal Kerr (Northern Economics)
Cold Bay,Aleutians,N/A,400,Regional Average
Cooper Landing,Railbelt,276,400,Regional Average
Copper Center,Copper River/Chugach,300,400,Regional Average
Cordova,Copper River/Chugach,300,400,Regional Average
Craig,Southeast,200,400,Cal Kerr (Northern Economics)
Crooked Creek,Lower Yukon-Kuskokwim,550,400,Regional Average
Deering,Northwest Arctic,550,400,Regional Average
