Community Name,Sufficient Biomass for 30% of Non-residential buildings,"Existing project (Y,N)","Productive Forest (H,M,L)",Phase,Certainty,On Road/SE,Proposed Capacity (MMBtu/hr),Proposed Heating Oil Displaced,Estimated Capital Cost,Estimated Operation Cost,Source of Data,Heating Reference Community,Distance to Heating Reference Community,Peak Month % of total,Capacity Factor
Adak,No,N,L,,L,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,Saint PAUL,442.9085534,0.115612738,0.71609064
Akhiok,No,N,L,,M,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,88.64829303,0.122581367,0.692858214
Akiachak,No,N,L,,L,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,13.28915898,0.141984494,0.598174523
Akiak,No,N,L,,L,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,20.21858702,0.141984494,0.598174523
Akutan,No,N,L,,L,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,142.9605415,0.117853457,0.709296246
Alakanuk,No,N,L,,L,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,127.2744693,0.132870169,0.637408875
Alatna,Yes,N,M,Recon,M,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,40.82597873,0.154001433,0.551498161
Alcan Border,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,141.5003463,0.156773212,0.541747573
Aleknagik,Yes,N,M,Recon,M,No,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,80.64963802,0.138508646,0.6131856
Allakaket,Yes,N,M,Recon,M,No,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,39.22679973,0.154001433,0.551498161
Ambler,Yes,N,,,,No,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,128.3202439,0.132952018,0.629337066
Anaktuvuk Pass,No,N,,,,No,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,84.8517438,0.154001433,0.551498161
Angoon,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,55.9484598,0.142174014,0.597377145
Aniak,Yes,N,M,Recon,L,NO,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,0,0.134162209,0.633050897
Anvik,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,76.94717055,0.134162209,0.633050897
Arctic Village,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,178.7794985,0.154001433,0.551498161
Atka,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,Saint PAUL,374.4021571,0.115612738,0.71609064
Atmautluak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,17.45640545,0.141984494,0.598174523
Atqasuk,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BARROW,57.72804252,0.122807018,0.673153223
Barrow,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BARROW,0.000059,0.122807018,0.673153223
