Model ID,Community,Energy Region,GNIS,FIPS,Alias
1,Adak,Aleutians,1418109,65,
77,Akhiok,Kodiak Region,1398007,650,
88,Akiachak,Lower Yukon-Kuskokwim,1398011,760,
89,Akiak,Lower Yukon-Kuskokwim,1398012,870,
2,Akutan,Aleutians,1418123,1090,
90,Alakanuk,Lower Yukon-Kuskokwim,1398042,1200,
194,Alatna,Yukon-Koyukuk/Upper Tanana,1865542,1305,
195,Alcan Border,Yukon-Koyukuk/Upper Tanana,2418762,1390,
29,Aleknagik,Bristol Bay,1398091,1420,
78,Aleneva,Kodiak Region,1865543,1560,
196,Allakaket,Yukon-Koyukuk/Upper Tanana,1398129,1860,
143,Ambler,Northwest Arctic,1412509,1970,
135,Anaktuvuk Pass,North Slope,1398235,2080,
154,Angoon,Southeast,1420113,3440,
91,Aniak,Lower Yukon-Kuskokwim,1398286,3550,
197,Anvik,Yukon-Koyukuk/Upper Tanana,1398335,3880,
198,Arctic Village,Yukon-Koyukuk/Upper Tanana,1398382,3990,
3,Atka,Aleutians,1418170,4210,
92,Atmautluak,Lower Yukon-Kuskokwim,1699811,4430,
136,Atqasuk,North Slope,1406178,4500,
137,Barrow,North Slope,1398635,5200,
199,Beaver,Yukon-Koyukuk/Upper Tanana,1398776,5750,
93,Bethel,Lower Yukon-Kuskokwim,1398908,6520,
200,Bettles,Yukon-Koyukuk/Upper Tanana,1926949,6630,
201,Birch Creek,Yukon-Koyukuk/Upper Tanana,1399049,7620,
13,Brevig Mission,Bering Straits,1420670,8740,
144,Buckland,Northwest Arctic,1412684,9600,
202,Central,Yukon-Koyukuk/Upper Tanana,1400106,11690,
203,Chalkyitsik,Yukon-Koyukuk/Upper Tanana,1400128,11800,
94,Chefornak,Lower Yukon-Kuskokwim,1400188,12680,
#56 # key error? Just Chenega?,Chenega Bay,Copper River/Chugach,1421254,12970,
95,Chevak,Lower Yukon-Kuskokwim,1400219,13230,
204,Chicken,Yukon-Koyukuk/Upper Tanana,1400245,13450,
30,Chignik,Bristol Bay,1400269,13550,
31,Chignik Lagoon,Bristol Bay,1400274,13670,
32,Chignik Lake,Bristol Bay,1893911,13780,
79,Chiniak,Kodiak Region,1866935,13860,
57,Chistochina,Copper River/Chugach,1400333,14000,
58,Chitina,Copper River/Chugach,1400337,14110,
96,Chuathbaluk,Lower Yukon-Kuskokwim,1400376,14330,
205,Circle,Yukon-Koyukuk/Upper Tanana,1400404,14880,
33,Clark's Point,Bristol Bay,1400426,15430,
155,Coffman Cove,Southeast,1669437,16360,
4,Cold Bay,Aleutians,1418448,16530,
206,Coldfoot,Yukon-Koyukuk/Upper Tanana,1412829,16630,
59,Copper Center,Copper River/Chugach,1400669,17300,
60,Cordova,Copper River/Chugach,1421215,17410,
156,Covenant Life,Southeast,1866938,17670,
157,Craig,Southeast,1421260,17740,
97,Crooked Creek,Lower Yukon-Kuskokwim,1400824,17850,
145,Deering,Northwest Arctic,1412894,18510,
34,Dillingham,Bristol Bay,1401203,18950,
14,Diomede,Bering Straits,1401213,19060,
207,Dot Lake,Yukon-Koyukuk/Upper Tanana,1401364,19720,
208,Dot Lake Village,Yukon-Koyukuk/Upper Tanana,1865550,19750,
209,Dry Creek,Yukon-Koyukuk/Upper Tanana,1866943,20020,
210,Eagle,Yukon-Koyukuk/Upper Tanana,1401499,20380,
