Community Name with power generation,Plant Intertied,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie
Adak,No,,,,,,,,,,,,,,,,
Akhiok,No,,,,,,,,,,,,,,,,
Akiachak,No,,,,,,,,,,,,,,,,
Akiak,No,,,,,,,,,,,,,,,,
Akutan,No,,,,,,,,,,,,,,,,
Alakanuk,Yes,Emmonak,,,,,,,,,,,,,,,
Allakaket,Yes,Alatna,New Allakaket,,,,,,,,,,,,,,
Ambler,No,,,,,,,,,,,,,,,,
Anaktuvuk Pass,No,,,,,,,,,,,,,,,,
Angoon,No,,,,,,,,,,,,,,,,
Aniak,No,,,,,,,,,,,,,,,,
Anvik,No,,,,,,,,,,,,,,,,
Arctic Village,No,,,,,,,,,,,,,,,,
Atka,No,,,,,,,,,,,,,,,,
Atmautluak,No,,,,,,,,,,,,,,,,
Atqasuk,No,,,,,,,,,,,,,,,,
Beaver,No,,,,,,,,,,,,,,,,
Bethel,Yes,Oscarville,Napakiak,,,,,,,,,,,,,,
Bettles,Yes,Evansville,,,,,,,,,,,,,,,
Birch Creek,No,,,,,,,,,,,,,,,,
Brevig Mission,No,,,,,,,,,,,,,,,,
Buckland,No,,,,,,,,,,,,,,,,
Central,No,,,,,,,,,,,,,,,,
Chalkyitsik,No,,,,,,,,,,,,,,,,
Chefornak,No,,,,,,,,,,,,,,,,
Chenega,No,,,,,,,,,,,,,,,,
Chevak,No,,,,,,,,,,,,,,,,
Chilkat Valley,Yes,Klukwan,,,,,,,,,,,,,,,
Chignik,No,,,,,,,,,,,,,,,,
Chignik Lagoon,No,,,,,,,,,,,,,,,,
Chignik Lake,No,,,,,,,,,,,,,,,,
Chitina,No,,,,,,,,,,,,,,,,
Chuathbaluk,No,,,,,,,,,,,,,,,,
Circle,No,,,,,,,,,,,,,,,,
Clark's Point,No,,,,,,,,,,,,,,,,
Cold Bay,No,,,,,,,,,,,,,,,,
Cordova,Yes,,,,,,,,,,,,,,,,
Craig,Yes,Klawock,Hydaburg,Thorne Bay,Kasaan,Hollis,Coffman Cove,Whale Pass,Naukati Bay,,,,,,,,
Crooked Creek,No,,,,,,,,,,,,,,,,
Deering,No,,,,,,,,,,,,,,,,
Dillingham,Yes,Aleknagik,,,,,,,,,,,,,,,
Diomede,No,,,,,,,,,,,,,,,,
Eagle,Yes,Eagle Village,,,,,,,,,,,,,,,
Eek,No,,,,,,,,,,,,,,,,
Egegik,No,,,,,,,,,,,,,,,,
Ekwok,No,,,,,,,,,,,,,,,,
Elfin Cove,No,,,,,,,,,,,,,,,,
Elim,No,,,,,,,,,,,,,,,,
False Pass,No,,,,,,,,,,,,,,,,
Fort Yukon,No,,,,,,,,,,,,,,,,
Galena,No,,,,,,,,,,,,,,,,
Gambell,No,,,,,,,,,,,,,,,,
Glennallen,Yes,Gakona,Gulkana,Copper Center,Kenny Lake,Mendeltna,Tazlina,Nelchina,Silver Springs,Tolsona,Tonsina,Nelchina,Valdez,#Sheep Mountain,Copperville,Nabesna,Willow Creek
Golovin,No,,,,,,,,,,,,,,,,
Goodnews Bay,No,,,,,,,,,,,,,,,,
Grayling,No,,,,,,,,,,,,,,,,
Gustavus,No,,,,,,,,,,,,,,,,
Haines,Yes,Covenant Life,Mud Bay,Lutak,Mosquito Lake,Excursion Inlet,#Skagway,,,,,,,,,,
Healy Lake,Yes,,,,,,,,,,,,,,,,
Holy Cross,No,,,,,,,,,,,,,,,,
Hoonah,No,,,,,,,,,,,,,,,,
Hooper Bay,No,,,,,,,,,,,,,,,,
Hughes,No,,,,,,,,,,,,,,,,
Huslia,No,,,,,,,,,,,,,,,,
Igiugig,No,,,,,,,,,,,,,,,,
Juneau,No,,,,,,,,,,,,,,,,
Kake,No,,,,,,,,,,,,,,,,
Kaktovik,No,,,,,,,,,,,,,,,,
Kaltag,No,,,,,,,,,,,,,,,,
Karluk,No,,,,,,,,,,,,,,,,
Kasigluk,Yes,Nunapitchuk,,,,,,,,,,,,,,,
Ketchikan,Yes,Petersburg,Wrangell,Saxman,Kupreanof,,,#Loring,,,,,,,,,
Kiana,No,,,,,,,,,,,,,,,,
King Cove,No,,,,,,,,,,,,,,,,
Kipnuk,No,,,,,,,,,,,,,,,,
Kivalina,No,,,,,,,,,,,,,,,,
Shungnak,Yes,Kobuk,,,,,,,,,,,,,,,
Kodiak,Yes,Womens Bay,Kodiak Station,Port Lions,,,,,,,,,,,,,
Kokhanok,No,,,,,,,,,,,,,,,,
Koliganek,No,,,,,,,,,,,,,,,,
Kongiganak,No,,,,,,,,,,,,,,,,
Kotlik,No,,,,,,,,,,,,,,,,
Kotzebue,No,,,,,,,,,,,,,,,,
Koyuk,No,,,,,,,,,,,,,,,,
Koyukuk,No,,,,,,,,,,,,,,,,
Kwethluk,No,,,,,,,,,,,,,,,,
Kwigillingok,No,,,,,,,,,,,,,,,,
Larsen Bay,No,,,,,,,,,,,,,,,,
Levelock,No,,,,,,,,,,,,,,,,
Lime Village,No,,,,,,,,,,,,,,,,
Upper Kalskag,Yes,Lower Kalskag,,,,,,,,,,,,,,,
Manley Hot Springs,No,,,,,,,,,,,,,,,,
Manokotak,No,,,,,,,,,,,,,,,,
Marshall,No,,,,,,,,,,,,,,,,
McGrath,No,,,,,,,,,,,,,,,,
Mekoryuk,No,,,,,,,,,,,,,,,,
Metlakatla,No,,,,,,,,,,,,,,,,
Minto,No,,,,,,,,,,,,,,,,
Mountain Village,No,,,,,,,,,,,,,,,,
Naknek,Yes,King Salmon,South Naknek,,,,,,,,,,,,,,
#Naukati Bay,No,,,,,,,,,,,,,,,,
Nelson Lagoon,No,,,,,,,,,,,,,,,,
New Stuyahok,No,,,,,,,,,,,,,,,,
Newhalen,Yes,Iliamna,Nondalton,,,,,,,,,,,,,,
Newtok,No,,,,,,,,,,,,,,,,
Nikolai,No,,,,,,,,,,,,,,,,
