Community,Total Number of generators,Total Capacity (in kW),Largest generator (in kW),Sizing,"Number to replace (""Poor"")",Switchgear Suitable,Waste Heat Recovery Opperational,Add waste heat Avail,Est. current annual heating fuel gallons displaced,Est. potential annual heating fuel gallons displaced
Adak,5,4035,1135,undersized & oversized,4,No,No,No,N/A,N/A
Akhiok,3,267,117,properly sized,0,No,No,No,unknown,unknown
Akiachak,4,1450,475,properly sized,0,Yes,Yes,Yes,N/A,N/A
Akiak,4,920,230,properly sized,0,Yes,Yes,Yes,N/A,N/A
Akutan,3,417,150,properly sized,1,No,No,No,N/A,N/A
Alakanuk,3,1150,500,properly sized,0,No,Yes,No,unknown,unknown
Allakaket,3,525,175,oversized,0,No,Yes,Yes,unknown,unknown
Ambler,3,1040,400,properly sized,0,No,No,No,unknown,unknown
Anaktuvuk Pass,5,2810,910,undersized,0,Yes,Yes,Yes,unknown,unknown
Angoon,3,1525,550,oversized,0,Yes,Yes,Yes,0,0
Aniak,2,1100,,,,,,,,
Anvik,3,375,160,properly sized,0,No,Yes,No,unknown,unknown
Arctic Village,4,395,130,properly sized,1,Yes,Yes,Yes,unknown,unknown
Atka,3,257,110,properly sized,1,No,No,No,N/A,N/A
Atmautluak,3,547,250,properly sized,0,Yes,No,No,N/A,N/A
Atqasuk,6,4100,,,,,,,,
Barrow,,,,,,,,,,
Beaver,3,244,110,properly sized,2,Yes,Yes,Yes,18250,none
Bethel,6,13500,2250,properly sized,0,No,Yes,Yes,unknown,unknown
Bettles,3,600,300,properly sized,0,No,No,No,N/A,N/A
Birch Creek,1,28,28,properly sized,0,No,No,No,N/A,N/A
Brevig Mission,3,1025,500,properly sized,0,Yes,Yes,No,unknown,unknown
Buckland,3,1132,476,properly sized,0,Yes,Yes,Yes,see notes,nee notes
Central,3,575,200,properly sized,0,No,Yes,No,unknown,unknown
Chalkyitsik,3,307,125,properly sized,1,No,Yes,No,unknown,unknown
Chefornak,3,921,371,properly sized,0,Yes,Yes,No,N/A,N/A
Chenega Bay,3,175,65,undersized,0,Yes,Yes,No,unknown,unknown
Chevak,3,1615,660,properly sized,0,Yes,Yes,Yes,N/A,N/A
Chignik,3,577,230,undersized ,0,Yes,Yes,No,N/A,N/A
Chignik Lagoon,3,453,160,oversized,0,Yes,Yes,No,unknown,unknown
Chignik Lake,4,442,147,properly sized,3,Yes,Yes,No,unknown,unknown
Chilkat Valley,1,600,600,oversized,1,No,No,No,unknown,unknown
Chistochina,2,200,100,properly sized,0,No,No,No,N/A,N/A
Chitina,3,301,117,properly sized,0,Yes,Yes,Yes,unknown,unknown
Chuathbaluk,3,179,78,undersized,0,Yes,No,No,0,0
Circle,2,188,98,properly sized,1,No,No,No,N/A,N/A
Clarks Point,3,476,250,properly sized,0,No,Yes,No,unknown,unknown
Coffman Cove,2,660,330,properly sized,0,Yes,No,No,unknown,unknown
Cold Bay,3,2600,875,properly sized,0,Yes,Yes,No,unknown,unknown
Cordova,5,10853,3700,properly sized,0,Yes,Yes,No,unknown,unknown
Craig,4,4545,1630,oversized,0,Yes,No,No,unknown,unknown
Crooked Creek,3,223,95,properly sized,0,Yes,Yes,No,unknown,unknown
Deering,4,577,170,oversized,0,Yes,Yes,No,unknown,unknown
Dillingham,7,6600,,,,,,,,
Diomede,,,,,,,,,,
Eagle,3,450,175,properly sized,0,Yes,Yes,Yes,unknown,unknown
Eek,3,541,206,properly sized,0,No,Yes,No,N/A,N/A
Egegik,2,380,200,properly sized,0,No,No,No,N/A,N/A
Ekwok,3,370,220,properly sized,0,No,No,No,N/A,N/A
