Community ,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Adak,2.54,3.12,3.56,4.18,4.47,4.68,4.83,4.94,5.03,5.13,5.26,5.37,5.46,5.59,5.66,5.79,5.93,6.07,6.21,6.3,6.45,6.54,6.69,6.8,6.97
Akhiok,1.73,2.12,2.42,2.84,3.04,3.18,3.28,3.36,3.42,3.49,3.58,3.65,3.71,3.8,3.85,3.94,4.03,4.12,4.22,4.29,4.39,4.45,4.55,4.63,4.74
Akiachak,2.12,2.53,2.82,3.24,3.43,3.56,3.66,3.73,3.79,3.86,3.94,4.01,4.07,4.14,4.19,4.28,4.36,4.45,4.54,4.59,4.69,4.74,4.83,4.9,5
Akiak,2.02,2.41,2.69,3.08,3.27,3.39,3.49,3.55,3.61,3.67,3.75,3.82,3.87,3.95,3.99,4.07,4.15,4.24,4.32,4.38,4.46,4.52,4.6,4.67,4.76
Akutan,1.89,2.32,2.64,3.1,3.32,3.47,3.58,3.66,3.73,3.81,3.9,3.98,4.05,4.14,4.2,4.3,4.4,4.5,4.61,4.68,4.79,4.85,4.96,5.05,5.17
Alakanuk,1.83,2.18,2.44,2.79,2.96,3.08,3.16,3.22,3.27,3.33,3.4,3.46,3.51,3.58,3.62,3.69,3.77,3.84,3.92,3.97,4.05,4.1,4.17,4.23,4.32
Alcan Border,1.58,1.94,2.21,2.59,2.78,2.9,3,3.07,3.12,3.19,3.27,3.34,3.39,3.47,3.52,3.6,3.68,3.77,3.86,3.92,4.01,4.06,4.15,4.23,4.33
Aleknagik,1.62,1.93,2.15,2.47,2.61,2.72,2.79,2.85,2.89,2.94,3,3.06,3.1,3.16,3.2,3.26,3.33,3.39,3.46,3.5,3.57,3.62,3.69,3.74,3.82
Aleneva,1.73,2.12,2.42,2.84,3.04,3.18,3.28,3.36,3.42,3.49,3.58,3.65,3.71,3.8,3.85,3.94,4.03,4.12,4.22,4.29,4.39,4.45,4.55,4.63,4.74
Allakaket-Alatna,3.42,3.9,4.25,4.7,4.91,5.06,5.16,5.24,5.3,5.37,5.46,5.53,5.59,5.67,5.72,5.8,5.89,5.98,6.07,6.13,6.22,6.28,6.37,6.44,6.53
Ambler,3.39,3.92,4.31,4.83,5.07,5.23,5.35,5.44,5.51,5.59,5.69,5.78,5.85,5.94,6,6.1,6.2,6.3,6.41,6.48,6.59,6.65,6.76,6.84,6.96
Anaktuvuk Pass,2.17,2.48,2.7,2.99,3.12,3.21,3.28,3.33,3.36,3.41,3.46,3.51,3.55,3.6,3.63,3.69,3.74,3.8,3.85,3.89,3.95,3.98,4.04,4.09,4.15
Angoon,1.59,1.95,2.22,2.61,2.79,2.92,3.01,3.08,3.14,3.2,3.28,3.35,3.41,3.49,3.53,3.62,3.7,3.79,3.88,3.94,4.03,4.08,4.18,4.25,4.35
Aniak,2.06,2.46,2.75,3.15,3.34,3.47,3.56,3.63,3.69,3.75,3.83,3.9,3.96,4.03,4.08,4.16,4.24,4.33,4.42,4.47,4.56,4.61,4.7,4.77,4.87
Anvik,2.63,3.13,3.5,4.01,4.25,4.42,4.54,4.63,4.7,4.78,4.89,4.97,5.04,5.14,5.2,5.3,5.41,5.52,5.63,5.7,5.81,5.88,5.99,6.08,6.21
Arctic Village,3.52,4.07,4.47,5.01,5.26,5.43,5.56,5.65,5.72,5.81,5.91,6,6.07,6.17,6.23,6.33,6.44,6.55,6.66,6.73,6.84,6.91,7.03,7.11,7.23
Atka,2.54,3.12,3.56,4.18,4.47,4.68,4.83,4.94,5.03,5.13,5.26,5.37,5.46,5.59,5.66,5.79,5.93,6.07,6.21,6.3,6.45,6.54,6.69,6.8,6.97
Atmautluak,2.21,2.63,2.94,3.37,3.57,3.71,3.81,3.88,3.94,4.01,4.1,4.17,4.23,4.31,4.36,4.45,4.54,4.63,4.72,4.78,4.88,4.94,5.03,5.1,5.21
Atqasuk,3.59,4.27,4.78,5.47,5.8,6.02,6.19,6.31,6.4,6.52,6.66,6.78,6.88,7.01,7.09,7.23,7.37,7.52,7.67,7.77,7.92,8.02,8.17,8.29,8.46
Barrow,2.27,2.71,3.03,3.47,3.67,3.82,3.92,4,4.06,4.13,4.22,4.3,4.36,4.44,4.49,4.58,4.67,4.77,4.86,4.92,5.02,5.08,5.18,5.25,5.36
Beaver,2.97,3.38,3.68,4.08,4.26,4.39,4.48,4.54,4.59,4.66,4.73,4.79,4.85,4.92,4.96,5.03,5.11,5.19,5.26,5.31,5.39,5.44,5.52,5.58,5.67
Bethel,2.59,3.08,3.44,3.94,4.18,4.34,4.46,4.55,4.62,4.7,4.8,4.89,4.96,5.05,5.11,5.21,5.32,5.42,5.53,5.6,5.71,5.78,5.89,5.98,6.1
Bettles,1.77,2.18,2.48,2.91,3.11,3.26,3.36,3.44,3.5,3.58,3.67,3.74,3.81,3.89,3.94,4.04,4.13,4.23,4.33,4.39,4.49,4.56,4.66,4.74,4.85
Birch Creek,2.83,3.38,3.77,4.32,4.58,4.76,4.89,4.98,5.06,5.15,5.26,5.36,5.43,5.54,5.6,5.71,5.83,5.94,6.06,6.14,6.26,6.33,6.46,6.55,6.68
Brevig Mission,1.73,2.06,2.31,2.64,2.8,2.91,2.99,3.05,3.09,3.15,3.22,3.27,3.32,3.38,3.42,3.49,3.56,3.63,3.71,3.75,3.83,3.87,3.95,4,4.09
Buckland,2.99,3.47,3.82,4.28,4.5,4.65,4.76,4.84,4.9,4.97,5.07,5.14,5.21,5.29,5.34,5.43,5.53,5.62,5.72,5.78,5.88,5.94,6.03,6.11,6.22
Central,1.53,1.88,2.14,2.51,2.69,2.81,2.91,2.97,3.02,3.09,3.17,3.23,3.29,3.36,3.41,3.49,3.57,3.65,3.74,3.79,3.88,3.94,4.03,4.09,4.19
Chalkyitsik,3.46,3.94,4.29,4.75,4.97,5.11,5.22,5.29,5.35,5.43,5.51,5.59,5.65,5.73,5.78,5.87,5.95,6.04,6.14,6.19,6.29,6.34,6.43,6.5,6.6
Chefornak,2.06,2.46,2.75,3.15,3.33,3.46,3.56,3.63,3.68,3.75,3.83,3.9,3.95,4.03,4.08,4.16,4.24,4.33,4.41,4.47,4.56,4.61,4.7,4.77,4.87
Chenega Bay,2.11,2.59,2.95,3.46,3.7,3.87,4,4.09,4.16,4.25,4.36,4.45,4.53,4.63,4.69,4.8,4.91,5.03,5.15,5.22,5.35,5.42,5.54,5.64,5.77
Chevak,1.76,2.09,2.34,2.68,2.84,2.95,3.04,3.09,3.14,3.2,3.27,3.32,3.37,3.44,3.47,3.54,3.61,3.69,3.76,3.81,3.88,3.93,4.01,4.06,4.15
Chicken,1.63,2,2.29,2.68,2.87,3,3.1,3.17,3.22,3.29,3.38,3.45,3.5,3.58,3.63,3.72,3.8,3.89,3.99,4.04,4.14,4.2,4.29,4.37,4.47
Chignik,1.69,2.07,2.36,2.77,2.96,3.1,3.2,3.27,3.33,3.4,3.49,3.56,3.62,3.7,3.75,3.84,3.93,4.02,4.12,4.18,4.28,4.33,4.43,4.51,4.62
Chignik Lagoon,2.04,2.5,2.85,3.34,3.58,3.74,3.87,3.95,4.02,4.11,4.21,4.3,4.37,4.47,4.53,4.64,4.75,4.86,4.97,5.05,5.17,5.24,5.36,5.45,5.58
