Data Year,Utility Number,Community,Utility Name,Ownership,Residential Thousand Dollars,Residential Megawatthours,Residential Count,Commercial Thousand Dollars,Commercial Megawatthours,Commercial Count,Industrial Thousand Dollars,Industrial Megawatthours,Industrial Count,Total Thousand Dollars,Total Megawatthours,Total CustomerCount
2011,192,Akiachak,Akiachak Native Community Electric,Cooperative,355,597,175,508,1096,44,0,0,0,863,1693,219
2010,192,Akiachak,Akiachak Native Community Electric,Cooperative,360,576,152,311,921,32,89,121,4,760,1618,188
2009,192,Akiachak,Akiachak Native Community Electric,Cooperative,364,580,164,315,925,33,93,125,5,772,1630,202
2008,192,Akiachak,Akiachak Native Community Electric,Cooperative,335,541,157,300,907,24,83,113,3,718,1561,184
2007,192,Akiachak,Akiachak Native Community Electric,Cooperative,294,549,145,331,1050,44,68,111,2,693,1710,191
2006,192,Akiachak,Akiachak Native Community Electric,Cooperative,269,524,145,306,1025,44,43,86,2,618,1635,191
2005,192,Akiachak,Akiachak Native Community Electric,Cooperative,173,424,135,251,632,36,0,0,0,424,1056,171
2004,192,Akiachak,Akiachak Native Community Electric,Cooperative,161,424,135,236,615,36,0,0,0,397,1039,171
2003,192,Akiachak,Akiachak Native Community Electric,Cooperative,147,405,135,210,582,36,0,0,0,357,987,171
2014,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,16728,141151,14115,12449,125452,2253,12514,132889,96,41691,399492,16464
2013,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,18068,141237,13968,13638,129284,2202,10361,106484,96,42067,377005,16266
2012,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,16970,142255,13912,12857,129783,2174,11993,127106,94,41820,399144,16180
2011,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,16931,139936,13842,12721,126493,2166,9273,98281,94,38925,364710,16102
2010,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,14020,131097,13781,10652,121319,2161,10736,118427,92,35408,370843,16034
2009,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,14829,130203,13750,10709,119918,2150,8259,96385,91,33797,346506,15991
2008,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,19482,128495,13699,14787,113434,2121,7893,68247,98,42162,310176,15918
2007,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,14224,142018,13644,10694,132689,2119,5095,70054,102,30013,344761,15865
2006,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,13612,140516,13500,10344,134612,2100,4460,71712,98,28416,346840,15698
2005,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,12631,132002,13313,9659,127770,2099,3772,53575,99,26062,313347,15511
2004,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,12515,130627,13196,9233,122268,2096,3890,54617,100,25638,307512,15392
2003,213,Juneau,Alaska Electric Light&Power Co,Investor Owned,12492,131006,13079,9083,121868,2082,3916,54714,100,25491,307588,15261
2014,219,AP&T,Alaska Power and Telephone Co,Investor Owned,7301,24116,5328,10341,38952,2302,0,0,0,17642,63068,7630
2013,219,AP&T,Alaska Power and Telephone Co,Investor Owned,7509,24475,4867,10982,40728,2175,0,0,0,18491,65203,7042
2012,219,AP&T,Alaska Power and Telephone Co,Investor Owned,7470,24391,4803,10705,40397,2173,0,0,0,18175,64788,6976
2011,219,AP&T,Alaska Power and Telephone Co,Investor Owned,7525,24241,4774,11644,41673,2178,0,0,0,19169,65914,6952
2010,219,AP&T,Alaska Power and Telephone Co,Investor Owned,6576,23648,4721,10258,40930,2146,0,0,0,16834,64578,6867
2009,219,AP&T,Alaska Power and Telephone Co,Investor Owned,6359,23894,4572,10324,42732,2124,0,0,0,16683,66626,6696
2008,219,AP&T,Alaska Power and Telephone Co,Investor Owned,6808.7,23131,4541,11656.6,43036,2105,0,0,0,18465.3,66167,6646
2007,219,AP&T,Alaska Power and Telephone Co,Investor Owned,6108,23238,4511,9933,43241,2058,0,0,0,16041,66479,6569
2006,219,AP&T,Alaska Power and Telephone Co,Investor Owned,6156,23119,4447,9638,41879,2001,0,0,0,15794,64998,6448
2005,219,AP&T,Alaska Power and Telephone Co,Investor Owned,5632,22518,4371,9018,41303,1964,0,0,0,14650,63821,6335
2004,219,AP&T,Alaska Power and Telephone Co,Investor Owned,5078,22531,4332,8070,40535,1915,0,0,0,13148,63066,6247
2003,219,AP&T,Alaska Power and Telephone Co,Investor Owned,4723,22161,4323,7690,39879,1930,0,0,0,12413,62040,6253
2014,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,21188,35665,7869,32334,62209,2960,0,0,0,53522,97874,10829
2013,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,18817,30829,6263,22846,42820,1781,0,0,0,41663,73649,8044
2012,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,19275,31085,6148,23433,42871,1775,0,0,0,42708,73956,7923
2011,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,16928,29737,6051,20536,41893,1760,0,0,0,37464,71630,7811
2010,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,15911,29204,5987,19227,40680,1712,0,0,0,35138,69884,7699
2009,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,18615,29148,5997,22584,39907,1642,0,0,0,41199,69055,7639
2008,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,16699,28334,5960,20641,39721,1614,0,0,0,37340,68055,7574
2007,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,14222,27321,5838,16540,37149,1552,0,0,0,30762,64470,7390
2006,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,13420,27046,5751,15374,36797,1519,0,0,0,28794,63843,7270
2005,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,12551,26681,5705,13969,35527,1531,0,0,0,26520,62208,7236
2004,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,11795,26749,5610,12770,35185,1466,0,0,0,24565,61934,7076
2003,221,AVEC,"Alaska Village Elec Coop, Inc",Cooperative,11484,26343,5562,12361,34676,1449,0,0,0,23845,61019,7011
2014,599,Anchorage,Anchorage Municipal Light and Power,Municipal,21435,133411,24429,113515.6,879373,6362,0,0,0,134950.6,1012784,30791
2013,599,Anchorage,Anchorage Municipal Light and Power,Municipal,18480.3,139733,24463,94117.3,907737,6323,0,0,0,112597.6,1047470,30786
2012,599,Anchorage,Anchorage Municipal Light and Power,Municipal,17221.2,146789,24443,83738,953876,6304,0,0,0,100959.2,1100665,30747
2011,599,Anchorage,Anchorage Municipal Light and Power,Municipal,18732.5,143844,24302,97883.3,967799,6301,0,0,0,116615.8,1111643,30603
2010,599,Anchorage,Anchorage Municipal Light and Power,Municipal,18576,143473,24206,98145.5,965307,6275,0,0,0,116721.5,1108780,30481
