Community,House District,Senate,District Description,Election Region
Adak,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Akhiok,32,P,Kodiak/Cordova/Seldovia,1
Akiachak,38,S,Lower Kuskokwim,4
Akiak,38,S,Lower Kuskokwim,4
Akutan,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Alakanuk,39,T,Bering Straits/Yukon Delta,4
Alatna,40,T,Arctic,3
Alcan Border,06,C,Eielson/Denali/Upper Yukon/Border,3
Aleknagik,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Aleneva,32,P,Kodiak/Cordova/Seldovia,1
Allakaket,40,T,Arctic,3
Ambler,40,T,Arctic,4
Anaktuvuk Pass,40,T,Arctic,4
Anchor Point,31,P,Homer/South Kenai,1
Anchorage (part),12,F,Chugiak/Gateway,2
Anchorage (part),13,G,Fort Richardson/North Eagle River,2
Anchorage (part),14,G,Eagle River/Chugach State Park,2
Anchorage (part),15,H,Elmendorf,2
Anchorage (part),16,H,College Gate,2
Anchorage (part),17,I,University,2
Anchorage (part),18,I,Spenard,2
Anchorage (part),19,J,Mountainview,2
Anchorage (part),20,J,Downtown Anchorage,2
Anchorage (part),21,K,West Anchorage,2
Anchorage (part),22,K,Sand Lake,2
Anchorage (part),23,L,Taku,2
Anchorage (part),24,L,Oceanview,2
Anchorage (part),25,M,Abbott,2
Anchorage (part),26,M,Huffman,2
Anchorage (part),27,N,Basher,2
Anchorage (part),28,N,South Anchorage,2
Anderson,06,C,Eielson/Denali/Upper Yukon/Border,3
Angoon,35,R,Sitka/Petersburg,1
Aniak,38,S,Lower Kuskokwim,4
Anvik,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Arctic Village,06,C,Eielson/Denali/Upper Yukon/Border,3
Atka,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Atmautluak,38,S,Lower Kuskokwim,4
Atqasuk,40,T,Arctic,4
Attu Station,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Badger (part),02,A,Fairbanks/Fort Wainwright,3
Badger (part),03,B,North Pole/Badger,3
Barrow,40,T,Arctic,4
Bear Creek,29,O,North Kenai,1
Beaver,06,C,Eielson/Denali/Upper Yukon/Border,3
Beluga,32,P,Kodiak/Cordova/Seldovia,1
Bethel,38,S,Lower Kuskokwim,4
Bettles,40,T,Arctic,3
Big Delta,09,E,Richardson Hwy/East Mat_Su,3
Big Lake,08,D,Big Lake/Point Mackenzie,2
Birch Creek,06,C,Eielson/Denali/Upper Yukon/Border,3
Brevig Mission,39,T,Bering Straits/Yukon Delta,4
Buckland,40,T,Arctic,4
Buffalo Soapstone,09,E,Richardson Hwy/East Mat_Su,3
Butte,12,F,Chugiak/Gateway,2
Cantwell,06,C,Eielson/Denali/Upper Yukon/Border,3
Central,06,C,Eielson/Denali/Upper Yukon/Border,3
Chalkyitsik,06,C,Eielson/Denali/Upper Yukon/Border,3
Chase,10,E,Rural Mat_Su,2
Chefornak,38,S,Lower Kuskokwim,4
Chena Ridge,05,C,Chena Ridge/Airport,3
Chenega Bay,32,P,Kodiak/Cordova/Seldovia,1
Chevak,39,T,Bering Straits/Yukon Delta,4
Chickaloon,09,E,Richardson Hwy/East Mat_Su,3
Chicken,06,C,Eielson/Denali/Upper Yukon/Border,3
Chignik,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Chignik Lagoon,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Chignik Lake,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Chiniak,32,P,Kodiak/Cordova/Seldovia,1
Chisana,06,C,Eielson/Denali/Upper Yukon/Border,3
Chistochina,06,C,Eielson/Denali/Upper Yukon/Border,3
Chitina,06,C,Eielson/Denali/Upper Yukon/Border,3
Chuathbaluk,38,S,Lower Kuskokwim,4
Circle,06,C,Eielson/Denali/Upper Yukon/Border,3
Clam Gulch,31,P,Homer/South Kenai,1
Clark's Point,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Coffman Cove,35,R,Sitka/Petersburg,1
Cohoe,31,P,Homer/South Kenai,1
Cold Bay,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Coldfoot,40,T,Arctic,3
College (part),04,B,Western Fairbanks,3
College (part),05,C,Chena Ridge/Airport,3
Cooper Landing,29,O,North Kenai,1
Copper Center,06,C,Eielson/Denali/Upper Yukon/Border,3
Cordova,32,P,Kodiak/Cordova/Seldovia,1
Covenant Life,33,Q,Downtown Juneau/Douglas/Haines/Skagw,1
Craig,35,R,Sitka/Petersburg,1
Crooked Creek,38,S,Lower Kuskokwim,4
Crown Point,29,O,North Kenai,1
Deering,40,T,Arctic,4
Delta Junction,09,E,Richardson Hwy/East Mat_Su,3
Deltana,09,E,Richardson Hwy/East Mat_Su,3
Diamond Ridge,31,P,Homer/South Kenai,1
Dillingham,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Diomede,39,T,Bering Straits/Yukon Delta,4
Dot Lake,06,C,Eielson/Denali/Upper Yukon/Border,3
Dot Lake Village,06,C,Eielson/Denali/Upper Yukon/Border,3
Dry Creek,06,C,Eielson/Denali/Upper Yukon/Border,3
Eagle,06,C,Eielson/Denali/Upper Yukon/Border,3
Eagle Village,06,C,Eielson/Denali/Upper Yukon/Border,3
Edna Bay,35,R,Sitka/Petersburg,1
Eek,38,S,Lower Kuskokwim,4
Egegik,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Eielson AFB,06,C,Eielson/Denali/Upper Yukon/Border,3
Ekwok,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Elfin Cove,35,R,Sitka/Petersburg,1
Elim,39,T,Bering Straits/Yukon Delta,4
Emmonak,39,T,Bering Straits/Yukon Delta,4
Ester (part),04,B,Western Fairbanks,3
Ester (part),05,C,Chena Ridge/Airport,3
Eureka Roadhouse,09,E,Richardson Hwy/East Mat_Su,3
Evansville,40,T,Arctic,3
Excursion Inlet,33,Q,Downtown Juneau/Douglas/Haines/Skagw,1
Fairbanks (part),01,A,Downtown Fairbanks,3
Fairbanks (part),02,A,Fairbanks/Fort Wainwright,3
False Pass,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Farm Loop (part),09,E,Richardson Hwy/East Mat_Su,3
Farm Loop (part),11,F,Greater Palmer,2
Farmers Loop,04,B,Western Fairbanks,3
Ferry,06,C,Eielson/Denali/Upper Yukon/Border,3
Fishhook (part),09,E,Richardson Hwy/East Mat_Su,3
Fishhook (part),10,E,Rural Mat_Su,2
Flat,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
Fort Greely,09,E,Richardson Hwy/East Mat_Su,3
Fort Yukon,06,C,Eielson/Denali/Upper Yukon/Border,3
Four Mile Road,06,C,Eielson/Denali/Upper Yukon/Border,3
Fox (part),04,B,Western Fairbanks,3
Fox (part),06,C,Eielson/Denali/Upper Yukon/Border,3
Fox River,31,P,Homer/South Kenai,1
Fritz Creek,31,P,Homer/South Kenai,1
Funny River,29,O,North Kenai,1
Gakona,06,C,Eielson/Denali/Upper Yukon/Border,3
Galena,39,T,Bering Straits/Yukon Delta,3
Gambell,39,T,Bering Straits/Yukon Delta,4
Game Creek,35,R,Sitka/Petersburg,1
Gateway (part),11,F,Greater Palmer,2
Gateway (part),12,F,Chugiak/Gateway,2
Glacier View,09,E,Richardson Hwy/East Mat_Su,3
Glennallen (part),06,C,Eielson/Denali/Upper Yukon/Border,3
Glennallen (part),09,E,Richardson Hwy/East Mat_Su,3
Goldstream,04,B,Western Fairbanks,3
Golovin,39,T,Bering Straits/Yukon Delta,4
Goodnews Bay,38,S,Lower Kuskokwim,4
Grayling,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,3
Gulkana,06,C,Eielson/Denali/Upper Yukon/Border,3
Gustavus,33,Q,Downtown Juneau/Douglas/Haines/Skagw,1
Haines,33,Q,Downtown Juneau/Douglas/Haines/Skagw,1
Halibut Cove,32,P,Kodiak/Cordova/Seldovia,1
Happy Valley,31,P,Homer/South Kenai,1
Harding-Birch Lakes,06,C,Eielson/Denali/Upper Yukon/Border,3
Healy,06,C,Eielson/Denali/Upper Yukon/Border,3
Healy Lake,06,C,Eielson/Denali/Upper Yukon/Border,3
Hobart Bay,35,R,Sitka/Petersburg,1
Hollis,35,R,Sitka/Petersburg,1
Holy Cross,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,3
Homer,31,P,Homer/South Kenai,1
Hoonah,35,R,Sitka/Petersburg,1
Hooper Bay,39,T,Bering Straits/Yukon Delta,4
Hope,29,O,North Kenai,1
Houston,10,E,Rural Mat_Su,2
Hughes,40,T,Arctic,3
Huslia,39,T,Bering Straits/Yukon Delta,3
Hydaburg,36,R,Ketchikan/Wrangell/Metlakatla/Hydaburg,1
Hyder,36,R,Ketchikan/Wrangell/Metlakatla/Hydaburg,1
Igiugig,37,S,Bristol Bay/Aleutians/Upper Kuskokwim,4
