Community,Region,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Priority 6,Priority 7,Priority 8,Priority 9,Priority 10,Priority 11
Adak,Aleutians,Workforce development/utility op. training,Wind _ id less turbulent sites,Investigate geothermal potential,secure funds/continue FS for Bonnie Rose Lake Hydro,Heat recovery for community bldgs.,Space heating strategy,,,,,
Akhiok,Kodiak Region,Wind/Hydro investment with overall power system upgrade,Address electricity frequency issues,Truck to shuttle fuel from bulk fuel facility to powerhouse,Need AMPY Smart meters,,,,,,,
Akiachak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Akiak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Akutan,Aleutians,Maintain and upgrade hydro at Town Creek,Monitor tidal and wave power opportunties,Complete harbor projects,Build access road between village and harbor,Improve airport runway,,,,,,
Alakanuk,Lower Yukon-Kuskokwim,,,,,,,,,,,
Alatna,Yukon-Koyukuk/Upper Tanana,Fix/expand solar,Biomass heat for community bldgs,EE upgrades in public bldgs & homes,LED street lights,bridge to Allakaket,road to Bettles,intertie to Bettles,microhydro,rebuild washeteria,,
Alcan Border,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Aleknagik,Bristol Bay,Energy efficiency for all buildings from design stage,more weatherization for homes,install anemometer/interest in community wind power,biomass pre_feasibility study,Add solar PV arrays to provide electricity for community buildings,include energy in community planning,,,,,
Aleneva,Kodiak Region,,,,,,,,,,,
Allakaket,Yukon-Koyukuk/Upper Tanana,Biomass heating for community buildings,waste oil burner,expand solar to clinic,expand heat recovery to clinic,LED street light retrofits,bridge to Allakaket,road to Bettles,intertie to Bettles,microhydro,rebuild washeteria,EE education
Ambler,Northwest Arctic,Residential solar thermal and electric,Energy-efficiency education and upgrades,Wind/solar kits for fish camps,Biomass boiler system in washeteria 2014/2015,LED street lights,,,,,,
Anaktuvuk Pass,North Slope,"Implement Energy Audits on School, City Building, IRA Building, Fire Station and M&O shop.",Upgrade Electrical System,Generator upgrade to accept alternative power,Prepare Geothermal Feasibility Study,Conduct Hydroelectric Feasibility study on Contact Creek,,,,,,
Angoon,Southeast,Thayer Creek Hydro or other renewable project,Biomass and heat pumps for space heat,Public building energy audits and retrofits,,,,,,,,
Aniak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Anvik,Yukon-Koyukuk/Upper Tanana,"Energy audits, energy efficiency, upgrades, awareness and education, and upgrade schools",add solar to homes & community bldgs.,"biomass heating for city hall, clinic, tribal hall & washeteria",repair heat recovery system,,,,,,,
Arctic Village,Yukon-Koyukuk/Upper Tanana,Solar panels on homes & community bldgs.,re_site bulk fuel storage,address high line loss,school electricity metering,generator replacement or rebuild,utility clerk training,,,,,
Atka,Aleutians,Continue wind reconnaissance,Maintain hydro & use excess electricity for heating,Investigate solar powered streetlights,Assess renewable energy options for fish plant or for residential heat,,,,,,,
Atmautluak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Atqasuk,North Slope,"Implement Energy Audits on School, USDW Building and Fire Station",Upgrade Electrical System,Generator upgrade to accept alternative power,Atqasuk Transmission line Preliminary Design and Permitting,,,,,,,
Barrow,North Slope,"Implement Energy Audits on C St. Shop/Warehouse, Heavy Equipment Shop, Heavy Equipment Storage building, Fire Station #1 &#2, Municipal Bus Barn, Barrow Sanitation Building, Search and Rescue Hangar, Shipping & Receiving Building, Light Duty Shop, Iñupiat Heritage Center Building, School District Bus Barn, Public Works Office building.",Install heat recovery systems,Generator upgrade to accept alternative power,,,,,,,,
Beaver,Yukon-Koyukuk/Upper Tanana,Repair heat recovery system,biomass heating for community building,add additional community facilities to PCE,,,,,,,,
Bethel,Lower Yukon-Kuskokwim,,,,,,,,,,,
Bettles,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Birch Creek,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Brevig Mission,Bering Straits,,,,,,,,,,,
Buckland,Northwest Arctic,"Solar PV, solar thermal at water treatment plant",Energy efficiency upgrades for secondary load for hybrid system (integrated system for alternative energy resources),TED meters installation and education 2014,Community electrical assessment,Wind diesel final design 2014,,,,,,
Central,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Chalkyitsik,Yukon-Koyukuk/Upper Tanana,Install heat recovery for school,repair/upgrade generators,solar PV on homes & community buildings,LED street lights in next few years,add community facilities to PCE,,,,,,
Chefornak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Chenega Bay,Prince William Sound,EE on all buildings,Capture more heat recovery,Biomass feasibility study,Solar potential,,,,,,,
Chevak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Chicken,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Chignik,Bristol Bay,Secure funds for design and construction of Indian Creek Hydro,upgrade/repair on distribution system,new round of weatherization,Water reservoir & distribution system need significant repairs,Additional housing needed,street light & airport lighting upgrade to LEDs,new dock construction,,,,
Chignik Lagoon,Bristol Bay,Monitor & maintain Packer's Creek Hydro,Heat Recovery_ electric boilers with excess hydro,Investigate wind power (alternative sites for met tower),"Re_size powerhouse, smaller more efficient generator(s)",Examine distribution/ transmission lines in poor condition,geothermal/ground source heat pumps,Weatherization on community buildings,additional housing,airport lighting/runway extension,,
Chignik Lake,Bristol Bay,Energy efficiency measures,determine alternative sites for wind study,Explore intertie opportunities with Chignik or Chignik Lagoon,2 new generators,Water and sanitation system upgrade,Install solar PV arrays on residences and community buildings,,,,,
Chiniak,Kodiak Region,,,,,,,,,,,
Chistochina,Copper River,Tribe: Residential and community facility EE&C,"biomass heating of multiple buildings (in progress, 2013)",solar thermal and P/V (feasibility),wind at new airport site (feasibility),help facilitate training and workshops.,,,,,,
Chitina,Copper River,"Tribe: Five Mile Creek Hydroelectric Project: CDR complete (Next steps: site mapping, permitting, final design)",Cannon Hill Wind feasibility,in-river hydrokinetic feasibility (future),CRBRHA and ACDC: Residential weatherization (2015-17).,,,,,,,
Chuathbaluk,Lower Yukon-Kuskokwim,,,,,,,,,,,
Circle,Yukon-Koyukuk/Upper Tanana,Feasibility of utility_scale solar,more bulk fuel storage,install heat recovery for school & teacher housing,EE upgrades to washeteria,EE public housing through rehab & new construction,add community facilities to PCE,,,,,
Clark's Point,Bristol Bay,Work with AEA on integration of small wind turbines to utility grid,Investigate hydro and/or solar for more renewable power generation,,,,,,,,,
Coffman Cove,Southeast,Energy efficiency retrofits,Biomass implementation for space heat,,,,,,,,,
Cold Bay,Aleutians,Feasibility of District Heating Loop for gov't bldgs,Electric utility wind energy project,Feasibility of Russel Creek Hydro,Waste heat recovery project,Monitor tidal power opportunities,Investigate city fuel farm,,,,,
Coldfoot,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Copper Center,Copper River,Tribe: Develop biomass heating,complete construction of an energy efficient multipurpose recreational building,continue EE lighting upgrades,support development of renewables.,CRBRHA and ACDC: Residential weatherization (2015-17).,,,,,,
Cordova,Prince William Sound,Alternative energy source to heat pool,More solar studies and application (one home),Water supply boom/bust – needs EE,Citywide EE assessment (Eyak),Integrate as many renewables as possible,,,,,,
Covenant Life,Southeast,,,,,,,,,,,
Craig,Southeast,Energy efficiency retrofits,Biomass implementation for space heat,,,,,,,,,
Crooked Creek,Lower Yukon-Kuskokwim,,,,,,,,,,,
Deering,Northwest Arctic,ARUC startup: heat recovery,Deering community photovoltaic,TED meters installation and education 2014,Water and sewer energy efficiency upgrades,,,,,,,
Dillingham,Bristol Bay,"Energy efficiency (EE) in buildings, homes, and transportation",EE awarness & education,Explore the feasibility of developing renewable sources of energy, Explore the feasibility of distributed energy systems,Expand heat recovery system,,,,,,
Diomede,Bering Straits,,,,,,,,,,,
Dot Lake,Yukon-Koyukuk/Upper Tanana,Add solar PV to homes & community buildings,retrofit VC owned triplex,,,,,,,,,
Dot Lake Village,Yukon-Koyukuk/Upper Tanana,Add solar PV to homes & community buildings,retrofit VC owned triplex,,,,,,,,,
Dry Creek,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Eagle,Yukon-Koyukuk/Upper Tanana,Biomass heating systems for community buildings,look into wind,EE & basic retrofits to new buildings (post_flood),utility_scale solar coming online,solar PV on tribal office,add community facilities to PCE,,,,,
Eagle Village,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Edna Bay,Southeast,,,,,,,,,,,
Eek,Lower Yukon-Kuskokwim,,,,,,,,,,,
Egegik,Bristol Bay,Determine wind resource & develop if feasible,,,,,,,,,,
Ekwok,Bristol Bay,Intertie with New Stuyahok,Road between Ekwok & New Stuyahok,Alternative method fuel delivey due to low river level,,,,,,,,
Elfin Cove,Southeast,Crooked Creek Hydro,,,,,,,,,,
Elim,Bering Straits,Renovate electrical system,Hydro feasibility,geothermal feasibility study,,,,,,,,
Emmonak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Evansville,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Excursion Inlet,Southeast,,,,,,,,,,,
False Pass,Aleutians,Address high line loss and diesel efficiency,Assess feasibility of  expanding heat recovery to school,finish wind feasibility study,hydro feasibility for run of river,,,,,,,
Fort Yukon,Yukon-Koyukuk/Upper Tanana,CHP Biomass project,Solar PV in place add to RCC building,develop logging area for stockpiling wood,apply for DOE TA,EE & cost effective heating & lighting in school,used oil program,add community facilities to PCE,,,,
Gakona,Copper River,"Tribe: Develop biomass heating loop for Buster Green Memorial Facility (BGMF), garage, several homes.",Install LED lighting throughout BGMF,study feasibility of adding solar panels.,Small EE home design.,ACDC: Residential weatherization (2015-17).,,,,,,
Galena,Yukon-Koyukuk/Upper Tanana,Biomass heating for GILA,Biomass steam plant utilidor upgrade,Residential smart meters _ remote monitor by utility,Powerhouse and electric  distribution upgrade  & improve efficiency,More solar PV arrays,,,,,,
Gambell,Bering Straits,,,,,,,,,,,
Game Creek,Southeast,,,,,,,,,,,
Glennallen,Copper River,"Ahtna: LNG demo, solar P/V project.",CRSD: EE upgrades at school & admin bldg (FY16 CIP request),CVEA: Replace older diesel generators (2016).,Fisher Fuel: 24-hr depot,Hub of Alaska solar P/V.,ACDC: Residential weatherization (2015-17).,,,,,
Golovin,Bering Straits,Relocate power plant to higher ground,Investigate renewables (wind),Renovate older homes for EE,,,,,,,,
Goodnews Bay,Lower Yukon-Kuskokwim,,,,,,,,,,,
Grayling,Yukon-Koyukuk/Upper Tanana,Biomass heating for community hall,"Energy audits, energy efficiency, upgrades, awareness and education, and upgrade schools",Add solar panels to homes and community bldgs,work with AVEC,Heat recovery system for community bldgs,,,,,,
Gulkana,Copper River,Tribe: Complete pellet/briquette mill.,Assess connections to existing heat loop.,Energy upgrades to community hall.,Increase residential EE program use.,ANTHC: water and sewer energy audit/upgrades.,CRBRHA: Residential weatherization (2015-17).,,,,,
Gustavus,Southeast,Intertie to Glacier Bay National Park,Energy efficiency and retrofits,,,,,,,,,
Haines,Southeast,Public facility biomass heating,Energy efficiency retrofits,Rural Power System Upgrade (RPSU),Next increment of hydro,,,,,,,
Healy Lake,Yukon-Koyukuk/Upper Tanana,Re_start electrical system,biomass heating for community buildings,solar on homes or for small_scale utility,,,,,,,,
Hobart Bay,Southeast,,,,,,,,,,,
Hollis,Southeast,,,,,,,,,,,
Holy Cross,Yukon-Koyukuk/Upper Tanana,"Energy audits, energy efficiency, upgrades, awareness and education, and upgrade schools",Add solar panels to homes and community buildings,heat recovery for water system,community_ scale biomass project,look into wind,,,,,,
Hoonah,Southeast,Biomass feasibility / district heating loop,Street and harbor lighting retrofits,Energy efficiency in private and public buildings,Water Supply Hydro,,,,,,,
Hooper Bay,Lower Yukon-Kuskokwim,,,,,,,,,,,
Hughes,Yukon-Koyukuk/Upper Tanana,Need additional bulk fuel storage,need additional 100 kW generator for utility & restore internet connection with power plant,assess distribution system (single phase not three phase),anemometer installed for wind study,EE upgrades & education,,,,,,
Huslia,Yukon-Koyukuk/Upper Tanana,Add solar panels to homes & community bldgs,biomass heating for WTP & clinic,energy efficiency upgrades to sanitation system in progress,,,,,,,,
