Community,Waste Heat Recovery Opperational,Add waste heat Avail,Est. current annual heating fuel gallons displaced,Est. potential annual heating fuel gallons displaced,Project Name,Year,Phase Completed,New/Repair/Extension,Total Round-trip Distance of Piping (feet),Number of Buildings/Facilities,Buildings/Facilities to be Served,Proposed Gallons of Diesel Offset,Proposed Maximum Btu/hr,Total CAPEX,Source,
Adak,No,No,N/A,N/A,,,,,,,,,,,,
Akhiok,No,No,unknown,unknown,,,,,,,,,,,,
Akiachak,Yes,Yes,N/A,N/A,,,,,,,,,,,,
Akiak,Yes,Yes,N/A,N/A,,,,,,,,,,,,
Akutan,No,No,N/A,N/A,,,,,,,,,,,,
Alakanuk,Yes,No,unknown,unknown,,,,,,,,,,,,
Allakaket,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Ambler,No,No,unknown,unknown,,,,,,,,,,,, 
Anaktuvuk Pass,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Angoon,Yes,Yes,0,0,,,,,,,,,,,,
Aniak,,,,,,,,,,,,,,,,
Anvik,Yes,No,unknown,unknown,,,,,,,,,,,,
Arctic Village,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Atka,No,No,N/A,N/A,,,,,,,,,,,,
Atmautluak,No,No,N/A,N/A,0,2010,Feasibility,New,1100,1,Wasteteria,4395,165000,338578,AE&E,
Atqasuk,,,,,,,,,,,,,,,,
Barrow,,,,,,,,,,,,,,,,
Beaver,Yes,Yes,18250,none,,,,,,,,,,,,
Bethel,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Bettles,No,No,N/A,N/A,,,,,,,,,,,,
Birch Creek,No,No,N/A,N/A,,,,,,,,,,,,
Brevig Mission,Yes,No,unknown,unknown,Brevig Mission Water System Heat Recovery,2013,Feasibility,New,1100,2,"WTP, Washeteria",14837,1000000,627495,ANTHC HR Study,
Buckland,Yes,Yes,see notes,nee notes,,,,,,,,,,,,
Central,Yes,No,unknown,unknown,,,,,,,,,,,,
Chalkyitsik,Yes,No,unknown,unknown,,,,,,,,,,,,
Chefornak,Yes,No,N/A,N/A,,,,,,,,,,,,
Chenega Bay,Yes,No,unknown,unknown,,,,,,,,,,,,
Chevak,Yes,Yes,N/A,N/A,Chevak Water and Vacuum Plant Heat Recovery,2013,Feasibility,New,1200,2,"WTP, Vacuum Pump Station",12500,300000,526737,ANTHC HR Study,
Chignik,Yes,No,N/A,N/A,,,,,,,,,,,,
Chignik Lagoon,Yes,No,unknown,unknown,,,,,,,,,,,,
Chignik Lake,Yes,No,unknown,unknown,,,,,,,,,,,,
Chilkat Valley,No,No,unknown,unknown,,,,,,,,,,,,
Chistochina,No,No,N/A,N/A,,,,,,,,,,,,
Chitina,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Chuathbaluk,No,No,0,0,,,,,,,,,,,,
Circle,No,No,N/A,N/A,,,,,,,,,,,,
Clarks Point,Yes,No,unknown,unknown,,,,,,,,,,,,
Coffman Cove,No,No,unknown,unknown,,,,,,,,,,,,
Cold Bay,Yes,No,unknown,unknown,Cold Bay Waste Heat Recovery Project,0,0,0,0,0,0,0,0,0,0,
Cordova,Yes,No,unknown,unknown,,,,,,,,,,,,
Craig,No,No,unknown,unknown,,,,,,,,,,,,
Crooked Creek,Yes,No,unknown,unknown,,,,,,,,,,,,
Deering,Yes,No,unknown,unknown,,,,,,,,,,,,
Dillingham,Yes,No,,,,,,,,,,,,,,
Diomede,,,,,,,,,,,,,,,,
Eagle,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Eek,Yes,No,N/A,N/A,,,,,,,,,,,,
Egegik,No,No,N/A,N/A,,,,,,,,,,,,
Ekwok,No,No,N/A,N/A,,,,,,,,,,,,
Elfin Cove,Yes,No,unknown,unknown,,,,,,,,,,,,
Elim,Yes,No,unknown,unknown,,,,,,,,,,,,
Emmonak,Yes,No,unknown,unknown,Emmonak Heat Recovery System,2013,Feasibility,New,1000,3,"WTP, Boy & Girls Club, City Office/Hotel",18879,660000,564252,ANTHC HR Study,
False Pass,Yes,No,12775,unknown,,,,,,,,,,,,
Fasle Island,No,No,unknown,unknown,,,,,,,,,,,,
Fort Yukon,No,No,N/A,N/A,,,,,,,,,,,,
Galena,Yes,No,36500,unknown,,,,,,,,,,,,
Gambell,,,,,,,,,,,,,,,,
Glennallen,,,,,,,,,,,,,,,,
Golovin,Yes,No,unknown,unknown,,,,,,,,,,,,
Goodnews Bay,Yes,Yes,N/A ,N/A,,,,,,,,,,,,
Grayling,No,No,N/A,N/A,,,,,,,,,,,,
Gustavus,No,No,unknown,unknown,,,,,,,,,,,,
Haines,,,,,,,,,,,,,,,,
Healy Lake,No,No,N/A,N/A,,,,,,,,,,,,
Hollis,No,No,unknown,unknown,,,,,,,,,,,,
Holy Cross,No,No,0,0,Holy Cross Power Plant Heat Recovery for Water Distribution System,0,0,0,0,0,0,0,0,0,0,
Hoonah,,,,,,,,,,,,,,,,
Hooper Bay,Yes,No,N/A,N/A,,,,,,,,,,,,
Hughes,Yes,No,unknown,unknown,,,,,,,,,,,,
Huslia,Yes,No,unknown,unknown,,,,,,,,,,,,
Hydaburg,No,Yes,unknown,unknown,,,,,,,,,,,,
Igiugig,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Ivanof Bay,No,No,N/A,N/A,,,,,,,,,,,,
Juneau,,,,,,,,,,,,,,,,
Kake,No,No,unknown,unknown,,,,,,,,,,,,
Kaktovik,Yes,No,unknown,unknown,,,,,,,,,,,,
Kaltag,Yes,No,unknown,unknown,,,,,,,,,,,,
Karluk,No,No,unknown,unknown,,,,,,,,,,,,
Kasaan,No,No,unknown,unknown,,,,,,,,,,,,
Kasigluk,Yes,Yes,N/A,N/A,,,,,,,,,,,,
Ketchikan,,,,,,,,,,,,,,,,
Kiana,Yes,No,unknown,unknown,,,,,,,,,,,,
King Cove,Yes,Yes,work being completed,none,,,,,,,,,,,,
Kipnuk,Yes,No,,,,,,,,,,,,,,
Kivalina,Yes,No,"operator new, not aware AVEC has records","operator new, not aware AVEC has records",,,,,,,,,,,,
Klawock,,,,,,,,,,,,,,,,
Kobuk,No,No,N/A,N/A,,,,,,,,,,,,
Kodiak,,,,,,,,,,,,,,,,
Kokhanok,Yes,No,unknown,unknown,,,,,,,,,,,,
Koliganek,Yes,No,unknown,unknown,,,,,,,,,,,,
Kongiganak,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Kotlik,Yes,No,unknown,unknown,,,,,,,,,,,,
Kotzebue,,,,,,,,,,,,,,,,
Koyuk,Yes,No,unknown,unknown,,,,,,,,,,,,
Koyukuk,Yes,Yes,18250,none,,,,,,,,,,,,
Kwethluk,Yes,Yes,N/A,N/A,,,,,,,,,,,,
Kwigillingok,Yes,Yes,0,0,,,,,,,,,,,,
Larsen Bay,No,No,0,0,,,,,,,,,,,,
Levelock,Yes,Yes,9300,900,,,,,,,,,,,,
Lime Village,,,,,,,,,,,,,,,,
Manley Hot Springs,Yes,No,unknown,unknown,,,,,,,,,,,,
Manokotak,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Marshall,Yes,No,unknown,unknown,0,2012,Feasibility,Repair,0,2,"Store, WTP",0,0,183200,ANTHC HR Study,
McGrath,Yes,No,60000,unknown,,,,,,,,,,,,
Mekoryuk,Yes,No,N/A,N/A,,,,,,,,,,,,
Metlakatla,,,,,,,,,,,,,,,,
Minto,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Mountain Village,Yes,No,unknown,unknown,,,,,,,,,,,,
Naknek,Yes,No,,,,,,,,,,,,,,
Napakiak,No,No,N/A,N/A,,,,,,,,,,,,
Napaskiak,No,No,N/A,N/A,,,,,,,,,,,,
Naukati Bay,Yes,Yes,unknown,unknown,,,,,,,,,,,,
Nelson Lagoon,No,No,N/A,N/A,,,,,,,,,,,,
New Stuyahok,Yes,No,unknown,unknown,New Stuyahok Heat Recovery,0,Operation,0,0,0,School,0,0,0,0,
Newhalen,Yes,Yes,5000,16000,,,,,,,,,,,,
Newtok,,,,,,,,,,,,,,,,
Nightmute,No,No,N/A,N/A,,,,,,,,,,,,
