Community,HR System Installed (Yes/No),HR Date of operation,HR in progress (as of November 2016),HR Functioning as of November 2016 (Yes/No),Heat Sales Agreement (Yes/No),BTU Meter Installed (Yes/No),Buildings Connected,Est. current annual heating fuel gallons displaced,Identified as priority by HR working group,Year of Feasibility Study Completion,Feasibility in progress,Project Name,Phase Completed,New/Repair/Extension,Total Round-trip Distance of Piping (feet),Above or below ground,Number of Buildings/Facilities,Buildings/Facilities to be Served,Proposed Gallons of Diesel Offset,Proposed Maximum Btu/hr,Total CAPEX,Source,Link,Notes
Adak,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,New power plant and all associated equipment is required.  No planned HR work until power plant is prioritized.
Akhiok,No,N/A,No,N/A,N/A,N/A,N/A,unknown,No,N/A,No,,,,,Unknown,,,,,,,,"no opportunity for HR at this point - Power plant moved from near school to other side of bay, not on PCE, shutting off power at night"
Akiachak,Yes,unknown,No,unknown,Unknown,unknown,Water Treatment Plant,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Potential to increase heat recovery to the Water Treatment plant.  ANTHC is waiting for community financial reporting to move expansion project forward.
Akiak,Yes,2012,No,unknown,Unknown,unknown,"Tribal Council Building, water plant, washeteria",unknown,No,2008,No,,,,,Unknown,,,,,,,,0
Akutan,Yes,unknown,No,unknown,Unknown,unknown,0,unknown,No,2016,No,,,,,Unknown,,,,,,,,"The HR system is installed in the Powerplant, but is not connected to any buildings.  There are 2 buildings near the power plant, but are currently not heated.  "
Alakanuk,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,intertied with Emmonak spring 2016.
Allakaket,Yes,2012,No,unknown,Unknown,no,Water Treatment Plant,unknown,No,Unknown,No,,,,,Unknown,,,,,,,, 
Ambler,Yes,2013,No,unknown,Yes  ,Yes,Water Treatment Plant,unknown,No,Unknown,No,,,,,Unknown,,,,,,,, Potential  feasibility study for DD Series 60 expansion to VPSO and city offices.
Anaktuvuk Pass,Yes,unknown,No,unknown,Unknown,unknown,"Department of Municipal Services, Fire Station, sewer treatment plant, and Storage Building",unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Potential feasibility by ANTHC.
Angoon,Yes,2009,No,Yes,Yes  ,yes,"Elementary and high school, Teachers Housing, Gym",22199,No,2008,No,,,,,Unknown,,,,,,,,0
Aniak,No,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,,,,,Unknown,,,,,,,,Feasibility study in progress - need fuel usage from school district for elementary school and district office.
Anvik,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,unknown,Yes,Unknown,No,,,,,Unknown,,,,,,,,"marine manifold could increase HR potential - DD Series 60 - power plant near school  - ANTHC has $70,000 from Denali Commission Funding - does not need feasibility study.  Needs more funding.  Also need to insulate connexes."
Arctic Village,Yes,unknown,No,unknown,Unknown,unknown,DOT,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,power plant by airport - no expansion potential
Atka,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,hydroelectric funded in Round 7 - HR N/A.  Tim S.  Funding available if there is excess electric available.
Atmautluak,Yes,2015,No,unknown,Unknown,unknown,,4395,No,2011,No,,,,,Unknown,,,,,,,,Plan to expand HR to lift station - funding is available. ANTHC will complete this work in 2017. Maintenance issues on the store.
Atqasuk,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,pursuing funding for a transmission line
Barrow,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Beaver,Yes,unknown,No,unknown,Unknown,unknown,water treatment plant/washeteria,18250,No,2010,No,,,,,Unknown,,,,,,,, 
Bethel,Yes,unknown,No,Marginal,Unknown,unknown,0,unknown,No,Unknown,No,,,,,Unknown,,,,,,,AVEC/Coffman,Coffman completed audit.  Steel pipe in good shape.  Fittings in dire shape. Foundations failing.  Self funding a heat recovery module in 2017 to separate generator cooling system from HR distribution.  Piping to city will have to be replaced if they want to reconnect.  Looking for funding for incremental repairs to the system.  Potential CHP discussions.
