Community,Buildings,Estimate/Measured,Source
Adak,40,E,Nonres Model
Akhiok,15,M,Regional Planners
Akiachak,40,M,ANTHC
Akiak,33,M,ANTHC
Akutan,25,M,RACEE
Alakanuk,31,M,ANTHC
Alatna,5,M,ANTHC
Aleknagik,22,M,ANTHC
Allakaket,14,M,Building Inventory
Ambler,18,M,ANTHC
Anaktuvuk Pass,46,M,North Slope Borough
Angoon,34,M,Regional Planners
Aniak,51,M,ANTHC
Anvik,18,M,ANTHC
Arctic Village,16,M,Building Inventory
Atka,23,E,Nonres Model
Atmautluak,24,M,ANTHC
Atqasuk,33,M,North Slope Borough
Barrow,395,M,North Slope Borough
Beaver,12,M,ANTHC
Bethel,260,M,City of Bethel
Bettles,12,M,ANTHC
Birch Creek,9,M,ANTHC
Brevig Mission,24,M,ANTHC
Buckland,13,M,ANTHC
Central,19,E,Nonres Model
Chalkyitsik,18,M,Building Inventory
Chefornak,15,M,RACEE
Chenega Bay,18,E,Building Inventory
Chevak,35,M,ANTHC
Chignik,35,E,Nonres Model
Chignik Lagoon,27,M,ANTHC
Chignik Lake,25,M,Building Inventory
Chistochina,15,M,Building Inventory
Chitina,21,M,Building Inventory
Chuathbaluk,22,M,ANTHC
Circle,17,M,ANTHC
Clark's Point,41,M,Building Inventory
Coffman Cove,31,M,Regional Planners
Cold Bay,38,M,Building Inventory
Copper Center,27,E,Nonres Model
Cordova,115,E,Nonres Model
Covenant Life,14,E,Nonres Model
Craig,89,M,Regional Planners
Crooked Creek,18,M,Building Inventory
Deering,15,M,Building Inventory
Dillingham,111,E,Nonres Model
Diomede,16,M,ANTHC
Dot Lake,10,M,Building Inventory
Dot Lake Village,10,E,Nonres Model
Dry Creek,20,E,Nonres Model
Eagle,21,M,Building Inventory
Eagle Village,8,E,Nonres Model
Edna Bay,3,M,Building Inventory
Eek,20,M,Building Inventory
Egegik,31,M,ANTHC
Ekwok,16,M,Building Inventory
Elfin Cove,15,E,Nonres Model
Elim,34,M,Building Inventory
Emmonak,46,M,ANTHC
Evansville,4,M,Building Inventory
Excursion Inlet,1,M,Building Inventory
False Pass,16,M,RACEE
Fort Yukon,60,M,ANTHC
Gakona,41,E,Nonres Model
Galena,57,M,RACEE
Gambell,23,M,Building Inventory
Glennallen,52,M,Building Inventory
Golovin,25,M,ANTHC
Goodnews Bay,15,M,ANTHC
Grayling,22,M,Building Inventory
Gulkana,21,E,Nonres Model
Gustavus,22,M,Regional Planners
Haines,142,M,Haines Property
Healy Lake,3,M,Building Inventory
Hollis,8,M,Regional Planners
Holy Cross,16,M,RACEE
Hoonah,55,M,Regional Planners
Hooper Bay,31,M,ANTHC
Hughes,15,M,AEA
Huslia,30,M,Building Inventory
Hydaburg,27,M,ANTHC
Hyder,11,E,Nonres Model
Igiugig,28,M,ANTHC
Iliamna,60,M,ANTHC
Juneau,1163,M,City of Juneau
Kake,34,M,Building Inventory
Kaktovik,36,M,North Slope Borough
Kaltag,26,M,ANTHC
Karluk,13,M,Building Inventory
Kasaan,21,M,ANTHC
Kasigluk,34,M,ANTHC
Kenny Lake,40,E,Nonres Model
