City,GNIS,Physical Address,Data Source,Building,Building Type,Square Feet,Audited,Audit Notes,Retrofits Done,Retrofit Notes,Fuel Oil,HW District,Electric,Natural Gas,Propane,Biomass,Fuel Oil Post,HW District Post,Electric Post,Natural Gas Post,Propane Post,Biomass Post,implementation cost
Adak,1418109,FALSE,ARIS,SRE Building --2531000118*Central Region,Other,5000,No,,,,2520.525547,,,,,,,,,,,,
Adak,1418109,Public Works Road,End Use Study,City Shop,Other,8081,No,,,,917,,8440,,,,,,,,,,
Adak,1418109,FALSE,ARIS,Maintenance Shop/SEF --2531000119*Central Region,Other,12000,No,,,,3625.182482,,30040.27036,,,,,,,,,,
Adak,1418109,FALSE,Regional Planners,Pat Kelly Airport Terminal,Other,15000,No,,,,,,,,,,,,,,,,
Adak,1418109,FALSE,Regional Planners,Bering Hill Chapel/Tsunami Shelter,Public Assembly,15000,No,,,,,,,,,,,,,,,,
Adak,1418109,100 Mechanical Street,End Use Study,City Hall,Public Assembly,77100,No,,,,5000,,161200,,,,,,,,,,
Adak,1418109,W. Mechancial Street,End Use Study,EMS Building/Line Shack,Public Safety,16800,No,,,,,,4800,,,,,,,,,,
Akhiok,1398007,123 B street,End Use Study,Akhiok School,Education - K - 12,8450,No,,,,6000,,70160,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,New clinic,Health Care - Hospitals,1750,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Medical Clinic/BHA,Health Care - Hospitals,2400,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Kaguyak Tribal Office,Office,1000,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Tribal Council Office/ Post Office/ City Office/ VPSO,Office,1152,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Tsunami Building,Other,1152,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Garage,Other,,No,,,,,,,,,,,,,,,,
Akhiok,1398007,0,End Use Study,St. John's Episcopal Church,Public Assembly,480,No,,,,100,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Teen Center,Public Assembly,640,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Church,Public Assembly,1400,No,,,,,,,,,,,,,,,,
Akhiok,1398007,FALSE,Regional Planners,Fire Hall,Public Assembly,,No,,,,,,,,,,,,,,,,
Akhiok,1398007,0,End Use Study,ANICA Store,Retail - Other,600,No,,,,300,,,,,,,,,,,,
Akhiok,1398007,0,End Use Study,Sre Building,Warehousing,1104,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,TEACHER HOUSING,Accommodation Services,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,FALSE,ARIS,Akiachak K-12 SchoolYupiit School District,Education - K - 12,42404,No,,,,,,361437.9196,,,,,,,,,,
Akiachak,1398011,0,End Use Study,OLD HIGH SCHOOL SHOP,Education - K - 12,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,FALSE,Regional Planners,City Office,Office,960,No,,,,,,,,,,,,,,,,
Akiachak,1398011,500 PHILLIPS ST,End Use Study,POST OFFICE,Office,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,"Village Corporation (Akiachak, Limited)",Office,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,FALSE,Regional Planners,Jail House,Other,576,No,,,,,,,,,,,,,,,,
Akiachak,1398011,FALSE,ARIS,SRE Building --1 (Heated) --2531000158Central Region,Other,1250,No,,,,,,5645.55081,,,,,,,,,,
Akiachak,1398011,FALSE,ARIS,SRE Building --2 --2531000159Central Region,Other,1250,No,,,,,,2014.018126,,,,,,,,,,
Akiachak,1398011,0,End Use Study,UNITED UTILITIES,Other,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,VILLAGE SHOP,Other,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,YOUTH & ELDERS BUILDING,Other,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,FALSE,Regional Planners,Townhall,Public Assembly,1158,Yes,"Yes, AHFC-C",NO,,,,,,,,,,,,,,
Akiachak,1398011,7 Church St.,End Use Study,MORVARIA CHURCH,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,TRIBAL COUNCIL BUILDING,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,Village Council,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,FALSE,Regional Planners,Fire Station,Public Safety,720,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,NATIVE COMMUNITY JAIL,Public Safety,2490,No,,,,,,,,,,,,,,,,
Akiachak,1398011,1ST AND MAIN ST,End Use Study,DISTRICT OFFICE,Public Safety,2800,No,,,,,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,ARMORY,Public Safety,,No,,,,,,,,,,,,,,,,
Akiachak,1398011,200 PHILLIPS ST.,End Use Study,GENERGE'S ENTERPRISES STORE,Retail - Other,2100,No,,,,275,,,,,,,,,,,,
Akiachak,1398011,0,End Use Study,Equipment Storage,Warehousing,336,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,ARIS,Akiak K-12 SchoolYupiit School District,Education - K - 12,29659,No,,,,,,194196.4144,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Old High School Wood Shop,Education - K - 12,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,ANTHC,Health Clinic,Health Care - Hospitals,2350,No,,,,728,,26989,,,,662,,22174,,,,5410
Akiak,1398012,FALSE,Regional Planners,Early Childhood Office,Office,,No,,,,,,,,,,,,,,,,
Akiak,1398012,0,End Use Study,KOKARMUIT CORPORATION,Office,,No,,,,5000,,,,,,,,,,,,
Akiak,1398012,0,End Use Study,Kokarmuit Corporation,Office,,No,,,,,,,,,,,,,,,,
Akiak,1398012,0,End Use Study,OLD POST OFFICE,Office,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Post Office,Office,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Generator Set (2),Other,320,No,,,,,,,,,,,,,,,,
Akiak,1398012,52028 MAIN AIRPORT,End Use Study,CITY OF AKIAK BUILDING,Other,1920,No,,,,600,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Head Start,Other,,No,,,,,,,,,,,,,,,,
Akiak,1398012,0,End Use Study,UNITITED UTILITIES,Other,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Community Building,Public Assembly,2492,No,,,,,,,,,,,,,,,,
AKIAK,1398012,FALSE,ARIS,Akiak Native CommunityTribal Government - ANTHC,Public Assembly,7900,No,,,,,,4065.53637,,,,,,,,,,
Akiak,1398012,0,End Use Study,Akiak Village Council,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Movarian Church,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Old Church,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Old Youth Center,Public Assembly,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Armory,Public Safety,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Stephen Ivans/Sons Store,Retail - Other,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Storage Van,Warehousing,320,No,,,,,,,,,,,,,,,,
Akiak,1398012,0,End Use Study,Sre Building --1 (Heated),Warehousing,1104,No,,,,,,,,,,,,,,,,
Akiak,1398012,0,End Use Study,Sre Building --2 (Heated),Warehousing,1104,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,ANTHC Storage,Warehousing,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Old Kokarmuit Storage,Warehousing,,No,,,,,,,,,,,,,,,,
Akiak,1398012,FALSE,Regional Planners,Akiak Water Plant,Water & Sewer,1280,Yes,Yes,NO,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Salmonberry Inn,Accommodation Services,1900,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Airport Lodge on Akun Island,Accommodation Services,,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,School,Education - K - 12,11425,,,,,3035,,35360,,,,,,,,,,
Akutan,1418123,,RACEE,"""Roadhouse"" Bar",Food Service and Drinking Places,2200,,,,,1480,,9068,,,,,,,,,,
Akutan,1418123,,RACEE,Clinic,Health Care - Hospitals,1435,,,,,305,,15071,,,,,,,,,,
Akutan,1418123,,RACEE,City Administration,Office,3324,,,,,,,13974,,,,,,,,,,
Akutan,1418123,,RACEE,Corporation Building,Office,5740,,,,,5181,,21488,,,,,,,,,,
Akutan,1418123,,RACEE,GCI Bldg./Dish,Other,80,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,AT&T,Other,300,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,ACS,Other,386,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Incinerator,Other,1100,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Daycare,Other,2700,,,,,1447,,9916,,,,,,,,,,
Akutan,1418123,,RACEE,Warehouse/Post Office/Corp. Office/McGlashan's Store,Other,15250,,,,,905,,62240,,,,,,,,,,
Akutan,1418123,,RACEE,ARCS Dish,Other,,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,City Cable Dish,Other,,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Fuel Tank,Powerplant,360,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Hydro Generator,Powerplant,400,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Generator,Powerplant,880,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,City Fuel Tanks,Powerplant,1750,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,St. Alexander Nevski Church,Public Assembly,702,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Library/Rec. Center,Public Assembly,2860,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Trident Church & Gym,Public Assembly,23880,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,VPSO Office/Garage,Public Safety,1021,,,,,,,10718,,,,,,,,,,
Akutan,1418123,,RACEE,Nurse Duplex,Residential - Multi-Family,941,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,VPSO Duplex,Residential - Multi-Family,941,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Airport Shed,Warehousing,125,,,,,,,,,,,,,,,,,
Akutan,1418123,,RACEE,Garage,Warehousing,744,,,,,,,1121,,,,,,,,,,
Akutan,1418123,FALSE,ARIS,SRE/Sand Storage Building (Heated)*Central Region,Warehousing,7150,No,,,,385.4014599,,,,,,,,,,,,
Akutan,1418123,,RACEE,Water Bldg.,Water & Sewer,928,,,,,,,,,,,,,,,,,
