community,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Akutan,420,419,420,420,425,418,421,406,408,713,706,739,786,767,750,727,804,757,812,1027,1109,1106,1154,1052,1154.4428710938,1152.9890136719,1150.2132568359,1146.1374511719,1140.7852783203,1134.1862792969,1126.3786621094,1117.41015625,1107.337890625,1096.2282714844,1084.1560058594,1071.2019042969,1057.4530029297,1043,1027.9365234375,1012.3571166992,996.3566894531,980.0289306641,963.4654541016,946.7550048828,929.9824829102,913.2286376953,896.5694580078,880.0761108398,863.8142700195,847.8446044922,832.2220458984,816.9966430664,802.212890625,787.9105834961,774.1243896484,760.8844604492,748.2165527344,736.1421508789,724.6790161133,713.841003418,
Cold Bay,128,128,124,102,93,91,83,77,71,88,77,124,103,99,101,101,87,109,110,108,93,97,85,89,110.9530487061,111.5232772827,111.9633102417,112.276298523,112.4686737061,112.5493927002,112.5290374756,112.4189300537,112.2304534912,111.9745254517,111.6612548828,111.2997436523,110.8980255127,110.4630889893,110.0009841919,109.5169067383,109.0153808594,108.5004119873,107.9755706787,107.4441757202,106.9093780518,106.3741912842,105.8416290283,105.3146438599,104.7962188721,104.2892837524,103.7967681885,103.3215026855,102.8662414551,102.4336013794,102.0260238647,101.6457443237,101.2947616577,100.9748306274,100.6874237061,100.4337310791,
False Pass,62,68,62,66,73,70,63,58,48,64,69,79,70,64,64,54,46,40,43,35,27,26,40,34,34.7517814636,35.1500320435,35.4542350769,35.676399231,35.829498291,35.9266662598,35.9806098938,36.0032958984,36.0057106018,35.9977493286,35.9881668091,35.9845581055,35.9933700562,36.0199737549,36.0687141418,36.1429710388,36.245262146,36.3773002625,36.5401000977,36.7340583801,36.959022522,37.2143783569,37.499130249,37.811958313,38.1512985229,38.5153808594,38.9023132324,39.3101119995,39.7367477417,40.1801948547,40.638458252,41.1096038818,41.5917930603,42.0832824707,42.5824584961,43.0878295898,
King Cove,710,723,736,743,707,706,686,692,691,792,699,798,747,748,749,772,801,791,824,938,938,962,934,905,944.6156005859,949.6101074219,953.8309326172,957.3642578125,960.2875366211,962.6696166992,964.5714111328,966.0462646484,967.1412353516,967.8972167969,968.3505859375,968.5334472656,968.4743652344,968.1993408203,967.7320556641,967.0946044922,966.3083496094,965.3936767578,964.3707275391,963.2596435547,962.0806274414,960.8540039063,959.6001586914,958.3396606445,957.0930175781,955.8802490234,954.7211914063,953.6353149414,952.6408081055,951.7552490234,950.9949951172,950.3751220703,949.9095458984,949.610534668,949.4890136719,949.5544433594,
Nelson Lagoon,87,87,85,86,89,84,87,78,87,83,78,69,62,75,63,64,66,60,58,52,44,46,45,44,52.5616912842,53.0759048462,53.5441856384,53.9676132202,54.3463554382,54.6798858643,54.9674720764,55.2086296082,55.4034957886,55.5530586243,55.6592903137,55.7251243591,55.7543754578,55.7515716553,55.7217712402,55.6703643799,55.6028518677,55.5246887207,55.4411010742,55.3569946289,55.2768173218,55.2045516968,55.1436386108,55.0970077515,55.0670547485,55.0557136536,55.0644607544,55.0943832397,55.146232605,55.2204589844,55.3172836304,55.4367141724,55.5786209106,55.7427558899,55.9287643433,56.1362380981,
Sand Point,858,870,870,870,829,818,855,817,842,952,921,920,957,918,945,892,1011,965,1051,976,1013,981,1018,946,992.5288085938,999.7004394531,1006.4248657227,1012.6453857422,1018.3367919922,1023.4958496094,1028.1337890625,1032.2717285156,1035.9370117188,1039.1606445313,1041.9758300781,1044.4165039063,1046.5166015625,1048.3092041016,1049.8267822266,1051.1004638672,1052.1604003906,1053.0354003906,1053.7536621094,1054.3420410156,1054.8269042969,1055.2338867188,1055.5882568359,1055.9141845703,1056.2357177734,1056.5758056641,1056.9572753906,1057.4013671875,1057.9288330078,1058.5593261719,1059.3110351563,1060.2008056641,1061.244140625,1062.455078125,1063.8455810547,1065.4267578125,
Adak,4665,4583,4017,627,601,546,0,7,106,316,143,148,62,56,126,105,95,119,105,326,331,321,282,247,329.1964416504,332.3848876953,334.9086914063,336.8395385742,338.232421875,339.1315307617,339.5747070313,339.5966796875,339.2315673828,338.5142211914,337.4811706543,336.1706237793,334.6224365234,332.877746582,330.9782714844,328.9656677246,326.8809204102,324.7636108398,322.6516113281,320.5802612305,318.5823974609,316.6877746582,314.9231567383,313.3121032715,311.875,310.6290893555,309.5888061523,308.7655029297,308.1680908203,307.8029174805,307.6742248535,307.7840881348,308.1329040527,308.7194213867,309.541015625,310.5938110352,
Atka,103,100,100,89,102,107,109,115,105,92,90,99,89,86,82,66,67,66,63,61,56,59,67,70,60.5891952515,60.8949584961,61.17578125,61.437461853,61.6837768555,61.9170608521,62.1385726929,62.3489532471,62.5484390259,62.7371940613,62.9154167175,63.0834999084,63.2420730591,63.3920059204,63.5344390869,63.6707382202,63.8024291992,63.9312057495,64.0588226318,64.1870956421,64.3178253174,64.4527740479,64.5936050415,64.7418823242,64.899017334,65.0662460327,65.2446136475,65.435005188,65.6380462646,65.8542175293,66.0837554932,66.3267288208,66.5830078125,66.8523178101,67.1342163086,67.4281311035,
Attu Station,,,,,,,,,,20,25,25,26,19,19,19,19,19,19,21,0,0,0,0,20.8414001465,20.6880550385,20.5387878418,20.3923549652,20.2475738525,20.1033782959,19.9588298798,19.8131027222,19.6654720306,19.515291214,19.3619823456,19.2050209045,19.0439243317,18.8782482147,18.7075843811,18.5315589905,18.3498344421,18.1620979309,17.9680767059,17.7675228119,17.5602092743,17.3459377289,17.1245212555,16.8957862854,16.659570694,16.4157218933,16.1640911102,15.9045410156,15.6369485855,15.361207962,15.0772371292,14.7849874496,14.4844522476,14.1756715775,13.8587446213,13.5338382721,
Nikolski,35,39,32,26,26,27,43,35,39,39,30,31,35,30,24,24,24,19,23,18,17,16,18,15,17.8100204468,17.607925415,17.3832912445,17.1302204132,16.8466777802,16.533454895,16.1932220459,15.8297290802,15.4472579956,15.0502252579,14.6429347992,14.2294120789,13.8133201599,13.3979110718,12.9860153198,12.5800457001,12.1820220947,11.793595314,11.4160919189,11.0505456924,10.6977376938,10.3582353592,10.0324268341,9.7205543518,9.4227399826,9.139008522,8.8693122864,8.6135416031,8.3715410233,8.1431159973,7.9280405045,7.726064682,7.5369143486,7.3602962494,7.195898056,7.0433917046,
