Community,Region,Propane ($/gallon),Source
Adak,Aleutians,6.193333333,Regional Average
Akhiok,Kodiak,5.2225,Regional Average
Akiachak,Lower Yukon-Kuskokwim,19.48,AEDG
Akiak,Lower Yukon-Kuskokwim,10.59,AEDG
Akutan,Aleutians,6.193333333,Regional Average
Alakanuk,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Alatna,Yukon-Koyukuk/Upper Tanana,11.74,AEDG
Aleknagik,Bristol Bay,8.832857143,Regional Average
Allakaket,Yukon-Koyukuk/Upper Tanana,11.74,AEDG
Anaktuvuk Pass,North Slope,10.215,AEDG
Anchor Point,Railbelt,4.72,AEDG
Anchorage,Railbelt,4.54,AEDG
Anderson,Railbelt,4.625,AEDG
Angoon,Southeast,2.54,AEDG
Aniak,Lower Yukon-Kuskokwim,4.925,AEDG
Anvik,Yukon-Koyukuk/Upper Tanana,9.11,AEDG
Arctic Village,Yukon-Koyukuk/Upper Tanana,13.98,AEDG
Atka,Aleutians,6.193333333,Regional Average
Atmautluak,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Atqasuk,North Slope,8.47,AEDG
Auke Bay,Southeast,3.858958333,Regional Average
Barrow,North Slope,13.775,AEDG
Beaver,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Bethel,Lower Yukon-Kuskokwim,3.75,AEDG
Bettles,Yukon-Koyukuk/Upper Tanana,8.47,AEDG
Big Lake,Railbelt,4.365,AEDG
Birch Creek,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Brevig Mission,Bering Straits,11.695,AEDG
Buckland,Northwest Arctic,13.25,AEDG
Cantwell,Railbelt,4.775,AEDG
Central,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Chalkyitsik,Yukon-Koyukuk/Upper Tanana,7.42,AEDG
Chefornak,Lower Yukon-Kuskokwim,8.64,AEDG
Chena Hot Springs,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Chenega Bay,Copper River/Chugach,16.23,AEDG
Chevak,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Chickaloon,Railbelt,4.25,AEDG
Chicken,Yukon-Koyukuk/Upper Tanana,4.035,AEDG
Chignik,Bristol Bay,9.25,AEDG
Chignik Lake,Bristol Bay,9.25,AEDG
Chiniak,Kodiak,5.2225,Regional Average
Chistochina,Copper River/Chugach,3.77,AEDG
Chitina,Copper River/Chugach,3.89,AEDG
Chuathbaluk,Lower Yukon-Kuskokwim,11.27,AEDG
Chugiak,Railbelt,4.29,AEDG
Circle,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Clam Gulch,Railbelt,6.02,AEDG
Clark's Point,Bristol Bay,8.832857143,Regional Average
Clear,Railbelt,5.4,AEDG
Coffman Cove,Southeast,3.265,AEDG
Cold Bay,Aleutians,6.193333333,Regional Average
Cooper Landing,Railbelt,3.92,AEDG
Copper Center,Copper River/Chugach,3.85,AEDG
Cordova,Copper River/Chugach,4.82,AEDG
Craig,Southeast,3.13,AEDG
Crooked Creek,Lower Yukon-Kuskokwim,15.25,AEDG
Deering,Northwest Arctic,12.625,AEDG
Delta Junction,Railbelt,4.5,AEDG
Dillingham,Bristol Bay,6.2,AEDG
Diomede,Bering Straits,13.92807692,Regional Average
Dot Lake,Yukon-Koyukuk/Upper Tanana,4.535,AEDG
Douglas,Southeast,3.858958333,Regional Average
Eagle,Yukon-Koyukuk/Upper Tanana,4.87,AEDG
Eagle River,Railbelt,4.29,AEDG
Eek,Lower Yukon-Kuskokwim,10.21274194,Regional Average
Egegik,Bristol Bay,12.97,AEDG
Ekwok,Bristol Bay,8.832857143,Regional Average
Elfin Cove,Southeast,5.635,AEDG
Elim,Bering Straits,16.58,AEDG
Emmonak,Lower Yukon-Kuskokwim,6.895,AEDG
Ester,Railbelt,4.12,AEDG
Evansville,Yukon-Koyukuk/Upper Tanana,8.47,AEDG
Eyak,Copper River/Chugach,4.66,AEDG
Fairbanks,Railbelt,4.12,AEDG
False Pass,Aleutians,11.53,AEDG
Fort Yukon,Yukon-Koyukuk/Upper Tanana,8.9,AEDG
Gakona,Copper River/Chugach,3.85,AEDG
Galena,Yukon-Koyukuk/Upper Tanana,8.62,AEDG
Gambell,Bering Straits,16.72,AEDG
Girdwood,Railbelt,4.58,AEDG
Glennallen,Copper River/Chugach,3.84,AEDG
Golovin,Bering Straits,14.83,AEDG
Goodnews Bay,Lower Yukon-Kuskokwim,11.22,AEDG
Grayling,Yukon-Koyukuk/Upper Tanana,7.01140625,Regional Average
Gulkana,Copper River/Chugach,3.85,AEDG
Gustavus,Southeast,4.88,AEDG
Haines,Southeast,3.858958333,Regional Average
Halibut Cove,Railbelt,4.660405405,Regional Average
Healy,Railbelt,4.345,AEDG
Hollis,Southeast,3.165,AEDG
Holy Cross,Yukon-Koyukuk/Upper Tanana,10.17,AEDG
Homer,Railbelt,4.795,AEDG
Hoonah,Southeast,3.858958333,Regional Average
Hooper Bay,Lower Yukon-Kuskokwim,13.88,AEDG
Hope,Railbelt,5.48,AEDG
Houston,Railbelt,4.45,AEDG
Hughes,Yukon-Koyukuk/Upper Tanana,13.35,AEDG
Huslia,Yukon-Koyukuk/Upper Tanana,7.92,AEDG
Hydaburg,Southeast,3.295,AEDG
Hyder,Southeast,3.858958333,Regional Average
Igiugig,Bristol Bay,10.17,AEDG
Iliamna,Bristol Bay,6.36,AEDG
Indian,Railbelt,4.58,AEDG
Ivanof Bay,Bristol Bay,8.832857143,Regional Average
Juneau,Southeast,3.41,AEDG
Kake,Southeast,6.24,AEDG
Kaktovik,North Slope,12.71,AEDG
Kalifornsky,Railbelt,4.660405405,Regional Average
Kalskag,Lower Yukon-Kuskokwim,10.97,AEDG
