community_names,purchased_from,Energy Source
Adak,,
Chignik Lake,L&PSD,Diesel
Chignik Lake,LPSD,Diesel
Chilkat Valley,SOUTHERN ENERGY,Hydro
Chilkat Valley,southern energy,Hydro
Chilkat Valley,Southern Energy,Hydro
Chilkat Valley,SOUTHERN ENERGY,Hydro
Chilkat Valley,Southern Energy / AP&T,Hydro
Chilkat Valley,Southern Energy/AP&T,Hydro
Chilkat Valley,Southern Energy/ AP&T,Hydro
Chilkat Valley,Southern Energy & AP&T,Hydro
Chilkat Valley,SO.ENERGY/AP&T,Hydro
Chilkat Valley,SouthernEnergy/AP&T,Hydro
Chilkat Valley,SOUTHERN ENERGY/APT,Hydro
Chilkat Valley,SouthernEnergy,Hydro
Chilkat Valley,SouthernEnergy/AP&T,Hydro
Chilkat Valley,SouthernEnergy&APT,Hydro
Chilkat Valley,SouthernEnergy/AP&T,Hydro
Chilkat Valley,SouthernEnergy/AP&T,Hydro
Chilkat Valley,SOUTHERNENERGY/APT,Hydro
Chilkat Valley,SOUTHERNENERGY/AT&pP,Hydro
Chilkat Valley,SOUTHERNENERGY/AP&t,Hydro
Chilkat Valley,SOUTHERNENERGY/AP&T,Hydro
Chilkat Valley,SOUTHERNENERGY/AKPOWER&TELE,Hydro
Chilkat Valley,SOUTHERN ENERGY/AP&T,Hydro
Chilkat Valley,SOUTHERNENERGY/ALASKAPR&TEL,Hydro
Chilkat Valley,AP&T,Hydro
Chilkat Valley,ALASKA POWER & TELEPHONE,Hydro
Chilkat Valley,Alaska Power & Telephone,Hydro
Chistochina,Intertie from Slana,Diesel
Coffman Cove,BLACK BEAR LAKE,Hydro
Coffman Cove,Intertie from Craig,Hydro
Coffman Cove,Black Bear Lake/South Fork,Hydro
Craig,BLACK BEAR LAKE.,Hydro
Craig,BLK BEAR LAKE/SOUTH FORK,Hydro
Craig,BLACK BEAR LAKE/SOUTH FORK,Hydro
Craig,Black Bear Lake/South Fork,Hydro
Craig,Bear Lake/South Fork,Hydro
Craig,BLACK BEAR LK/SOUTH FORK,Hydro
"Craig, Klawock",BLACK BEAR LK/SOUTH FORK,Hydro
"Craig, Klawock",BLACK BEAR LAKE.,Hydro
"Craig, Klawock",BLACK BEAR LAKE,Hydro
"Craig, Klawock",Black Bear Lake,Hydro
"Craig, Klawock",Black Bear Lake/South Fork,Hydro
"Craig, Klawock",Black Bear Lake & South Fork,Hydro
"Craig, Klawock",Black Bear/South Fork,Hydro
"Craig, Klawock",Black Bear & South Fork,Hydro
"Craig, Klawock",BlackBearLakeSouthFork,Hydro
"Craig, Klawock",BLACK BEAR LAKE SOUTH FORK,Hydro
"Craig, Klawock",BlackBearLake/Southfork,Hydro
"Craig, Klawock",BLACK BEAR LAKE/SOUTH FORK,Hydro
"Craig, Klawock",BlackBearLake/SouthFork,Hydro
"Craig, Klawock",BLACK BEAR LK/SOUTHFORK,Hydro
"Craig, Klawock",BLACKBEARLAKE/SOUTHFORK,Hydro
"Craig, Klawock",BLK BEAR/STH FORK/COFFMN COVE,Hydro
"Dot Lake, Dot Lake Village",Intertie from Tok,Diesel
"Haines, Covenant Life",SO ENERGY & GOAT LAKE,Hydro
"Haines, Covenant Life",SO. ENERGY & GOAT LAKE,Hydro
"Haines, Covenant Life",GOAT LAKE,Hydro
"Haines, Covenant Life",SO ENERGY & BLACK BEAR,Hydro
"Haines, Covenant Life",LUTAK & GOAT LAKE,Hydro
"Haines, Covenant Life",LUTAK AND GOAT LAKE,Hydro
"Haines, Covenant Life",Lutak & Goat Lake,Hydro
"Haines, Covenant Life",lutak & Goat Lake,Hydro
"Haines, Covenant Life",Lutak/Goat Lake,Hydro
"Haines, Covenant Life",Lutak and Goat Lake,Hydro
"Haines, Covenant Life",LUTAK,Hydro
"Haines, Covenant Life",LUTAK/Goat Lake,Hydro
"Haines, Covenant Life",LUTAK/GOAT LAKE,Hydro
"Haines, Covenant Life",Lutak/GoatLake,Hydro
"Haines, Covenant Life",LUTAK/GOAT LAKE/SOUTHRN ENERGY,Hydro
"Haines, Covenant Life",Lutak/GoatLake/SouthernEnergy,Hydro
"Haines, Covenant Life",LUTAK/GOAT LK/SOUTHERN ENERGY,Hydro
"Haines, Covenant Life",Lutak/GoatLake/S.Energy,Hydro
"Haines, Covenant Life",Lutak/GoatLake/Kasidaya,Hydro
"Haines, Covenant Life",Lutak/GoatLake,Hydro
"Haines, Covenant Life",Lutak/GoatLake/Kasidaya/SEI,Hydro
