#2013 ACS data (B25040),,,,,,,,,,,,,,,,,,,,
Community Name,Borough/Census Area,Total,Error Total,Utility Gas,Error Utility gas,LP,Error LP,Electricity,Error Electricity,Fuel Oil,Error Fuel Oil,Coal,Error Coal,Wood,Error Wood,Solar,Error Solar,Other,Error Other,No fuel used
Adak,Aleutians West Census Area,1,0.0968054211,0.0193610842,0.0145208132,0.013552759,0.0096805421,0.0387221684,0.01839303,0.8741529526,0.0880929332,0,0.0125847047,0.0145208132,0.0096805421,0,0.0125847047,0.0377541142,0.0174249758,0.0019361084
Adak Station,Aleutians West Census Area,1,0.0968054211,0.0193610842,0.0145208132,0.013552759,0.0096805421,0.0387221684,0.01839303,0.8741529526,0.0880929332,0,0.0125847047,0.0145208132,0.0096805421,0,0.0125847047,0.0377541142,0.0174249758,0.0019361084
Afognak,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Akhiok,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Akiachak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Akiak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Akutan,Aleutians East Borough,1,0.3977011494,0.0137931034,0.0229885057,0.0022988506,0.0114942529,0.0275862069,0.0252873563,0.9218390805,0.3563218391,0,0.0206896552,0.0298850575,0.0252873563,0,0.0206896552,0.0045977011,0.0068965517,0
Alakanuk,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Alatna,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Alcan Border,Southeast Fairbanks Census Area,1,0.0657781599,0.035683577,0.0227858985,0.0047291488,0.0073086844,0.0494411006,0.024505589,0.5352536543,0.056749785,0.0030094583,0.0042992261,0.3632846088,0.049011178,0.0004299226,0.0008598452,0.0021496131,0.0038693035,0.0060189166
