#,,,,BEES,,,,Pre-Retrofit (No BEES),,,Post-Retrofit,,,,,
#Community,Energy Region,,Total Occupied,Number,Avg Area (SF),Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Number,Avg Area (SF),Avg EUI (MMBtu/sf),Number,Avg Area (SF),Avg. EUI Reduction,Avg EUI (MMBtu/sf),,Notes
Community,Energy Region,Year,Total Occupied,BEES Number,BEES Avg Area (SF),BEES Avg EUI (MMBtu/sf),BEES Total Consumption (MMBtu),Pre-Retrofit Number,Pre-Retrofit Avg Area (SF),Pre-Retrofit Avg EUI (MMBtu/sf),Post-Retrofit Number,Post-Retrofit Avg Area (SF),Post-Retrofit Avg. EUI Reduction,Post-Retrofit Avg EUI (MMBtu/sf),Total Consumption (MMBtu),Notes
Adak,Aleutians,2010,44,1,2400,0.027516667,66.04,9,2103.972222,0.120359464,0,2103.972222,0.320659103,0.080064498,0,0
Akhiok,Kodiak,2010,19,0,0,0,0,0,1817.021755,0.106045619,0,1817.021755,0.258583994,0.098665546,0,0
Akiachak,Lower Yukon-Kuskokwim,2010,150,0,0,0,0,55,770.8727273,0.176781678,55,714.516129,0.387282536,0.1154782,4538.107017,0
Akiak,Lower Yukon-Kuskokwim,2010,90,0,0,0,0,0,1045.957276,0.166638146,0,1045.957276,0.33369832,0.115472306,0,0
Akutan,Aleutians,2010,40,0,0,0,0,23,940.9891304,0.097554633,26,863.8214286,0.320659103,0.064743155,1454.089642,0
Alakanuk,Lower Yukon-Kuskokwim,2010,160,0,0,0,0,63,748.8730159,0.221033455,73,766.0208333,0.464961841,0.107717592,6023.516143,0
Alatna,Yukon-Koyukuk/Upper Tanana,2010,12,3,1285.333333,0.059006408,227.5287082,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Alcan Border,Yukon-Koyukuk/Upper Tanana,2010,16,0,0,0,0,0,1121.814623,0.246540221,0,1121.814623,0.32640461,0.152397642,0,0
Aleknagik,Bristol Bay,2010,71,0,0,0,0,40,1036.68075,0.132889174,32,922.007931,0.23348266,0.096672829,2852.259679,0
Aleneva,Kodiak,2010,9,0,0,0,0,0,1817.021755,0.106045619,0,1817.021755,0.258583994,0.098665546,0,0
Allakaket,Yukon-Koyukuk/Upper Tanana,2010,44,5,1405.6,0.061968416,435.5140277,4,902,0.246540221,0,902,0.32640461,0.152397642,0,0
Ambler,Northwest Arctic,2010,75,1,1520,0.070296053,106.85,0,1150.504333,0.208108709,27,1150.504333,0.331439503,0.116576876,3621.299427,No data for post-retrofit available.  Uses regional averages
Anaktuvuk Pass,North Slope,2010,99,13,1470.769231,0.128349194,2454.036592,28,1211.185368,0.146373034,25,1213.06625,0.248341489,0.135488514,4108.913576,0
Angoon,Southeast,2010,167,0,0,0,0,98,1295.571429,0.114296893,91,1266.671429,0.280661724,0.09240842,10651.65056,0
Aniak,Lower Yukon-Kuskokwim,2010,166,5,1776.4,0.095113232,844.7957267,33,1247.148182,0.167396586,52,930.73625,0.277746957,0.116992986,5662.259867,0
Anvik,Yukon-Koyukuk/Upper Tanana,2010,33,2,1312,0.057519055,150.93,3,1121.814623,0.136796523,21,760.75,0.32640461,0.124072653,1982.153681,0
Arctic Village,Yukon-Koyukuk/Upper Tanana,2010,65,0,0,0,0,2,420,0.657301136,52,420,0.32640461,0.483106818,10551.05291,0
Atka,Aleutians,2010,24,3,982,0.070887579,208.8348082,28,976.2142857,0.084285793,18,976.3333333,0.320659103,0.061231584,1076.08385,0
Atmautluak,Lower Yukon-Kuskokwim,2010,63,0,0,0,0,1,1045.957276,0.166638146,8,768,0.33369832,0.067760417,416.32,0
Atqasuk,North Slope,2010,64,6,1115.083333,0.086915414,581.5075758,7,1339.055714,0.214190645,22,1339.055714,0.248341489,0.155272122,4574.196484,0
Barrow,North Slope,2010,1280,46,1392.30913,0.108050814,6920.246194,34,1357.229091,0.254901517,36,1462.421538,0.248341489,0.176228512,9277.9334,0
Beaver,Yukon-Koyukuk/Upper Tanana,2010,36,1,1233,0.075815085,93.48,24,646.1666667,0.246540221,28,646.1666667,0.32640461,0.146594321,2652.282187,0
Bethel,Lower Yukon-Kuskokwim,2010,1896,155,1575.216645,0.07994574,19519.43847,189,1367.287128,0.125103261,119,1317.626481,0.186432294,0.104345448,16361.11078,0
Bettles,Yukon-Koyukuk/Upper Tanana,2010,9,0,0,0,0,0,1121.814623,0.246540221,15,1121.814623,0.32640461,0.152397642,2564.428546,No data for post-retrofit available.  Uses regional averages
