Community Name,Nearest Reference Community,Output per 10kW Solar PV
Adak,ADAK,7144
Adak Station,ADAK,7144
Afognak,KODIAK,8716
Akhiok,KODIAK,8716
Akiachak,BETHEL,8830
Akiak,BETHEL,8830
Akutan,COLD BAY,7003
Alakanuk,EMMONAK,8020
Alatna,BETTLES,8912
Alcan Border,NORTHWAY,8017
Aleknagik,DILLINGHAM,7580
Aleneva,KODIAK,8716
Alexander Creek,HAYES River,8636
Allakaket,BETTLES,8912
Alpine,BARROW,7342
Ambler,AMBLER,7882
Anaktuvuk Pass,ANAKTUVUK PASS,7788
Anchor Point,ILIAMNA,9506
Anchorage,HAYES River,8636
Anderson,BIG DELTA,8883
Andreafsky,EMMONAK,8020
Angoon,SITKA,6717
Aniak,ANIAK,9428
ANNETTE,ANNETTE,8534
Anton Larsen Bay,KODIAK,8716
Anvik,ANVIK,9339
Arctic Village,FORT YUKON,9239
Atka,ADAK,7144
Atmautluak,BETHEL,8830
Atqasuk,BARROW,7342
Attu Station,SHEMYa,6717
Auke Bay,JUNEAU,8048
Ayakulik,KODIAK,8716
Badger,BIG DELTA,8883
Barrow,BARROW,7342
Bear Creek,Valdez,7211
Beaver,FORT YUKON,9239
Belkofski,COLD BAY,7003
Beluga,HAYES River,8636
Bethel,BETHEL,8830
Bettles,BETTLES,8912
Big Delta,BIG DELTA,8883
Big Lake,HAYES River,8636
Big Salt,HYDABURG,8938
Bill Moore's Slough,EMMONAK,8020
Birch Creek,FORT YUKON,9239
Birchwood,HAYES River,8636
Boundary,EAGLE,9455
Brevig Mission,SHISHMAREF,6717
Buckland,SELAWIK,6717
Buffalo Soapstone,CHULITNA,8967
Butte,Valdez,7211
Candle,KOTZEBUE,8593
Cantwell,CHULITNA,8967
Canyon Village,FORT YUKON,9239
Cape Lisburne,POINT LAY,7621
Cape Yakataga,YAKUTAT,7562
Caswell,CHULITNA,8967
Central,FORT YUKON,9239
Chalkyitsik,FORT YUKON,9239
CHANDALAR LAKE,BETTLES,8912
Chase,CHULITNA,8967
Chatanika,BIG DELTA,8883
Chefornak,BETHEL,8830
Chena Hot Springs,BIG DELTA,8883
Chena Ridge,BIG DELTA,8883
Chenega,CORDOVA,7163
Chevak,EMMONAK,8020
Chickaloon,Valdez,7211
Chicken,EAGLE,9455
Chignik,PORT HEIDEN,7669
Chignik Lagoon,PORT HEIDEN,7669
Chignik Lake,PORT HEIDEN,7669
Chiniak,KODIAK,8716
Chisana,NORTHWAY,8017
Chistochina,GULKANA,9112
Chitina,GULKANA,9112
Chuathbaluk,ANIAK,9428
Chugiak,HAYES River,8636
CHULITNA,CHULITNA,8967
Chuloonawick,EMMONAK,8020
Circle,FORT YUKON,9239
Circle Hot Springs,FORT YUKON,9239
Clam Gulch,HAYES River,8636
Clark's Point,DILLINGHAM,7580
Clear,CHULITNA,8967
Coffman Cove,WRANGELL,8889
Cohoe,HAYES River,8636
Cold Bay,COLD BAY,7003
Coldfoot,BETTLES,8912
Cooper Landing,Valdez,7211
Copper Center,GULKANA,9112
Copperville,GULKANA,9112
Cordova,CORDOVA,7163
Council,NOME,8406
Covenant Life,SKAGWAY,6717
Craig,HYDABURG,8938
Crooked Creek,SLEETMUTE,6717
Cube Cove,JUNEAU,8048
Deering,KOTZEBUE,8593
Delta Junction,BIG DELTA,8883
Deltana,HEALY Lake,6741
Dillingham,DILLINGHAM,7580
Diomede,SHISHMAREF,6717
Dot Lake,HEALY Lake,6741
Dot Lake Village,HEALY Lake,6741
Douglas,JUNEAU,8048
Dry Creek,HEALY Lake,6741
Dyea,SKAGWAY,6717
Eagle,EAGLE,9455
EAGLE,EAGLE,9455
Eagle Village,EAGLE,9455
Edna Bay,WRANGELL,8889
Eek,BETHEL,8830
Egegik,KING SALMON,8870
Ekuk,DILLINGHAM,7580
Ekwok,DILLINGHAM,7580
Elfin Cove,ELFIN COVE,8210
Elim,KOYUK,9308
Emmonak,EMMONAK,8020
EMMONAK,EMMONAK,8020
EUREKA,Valdez,7211
Eureka Roadhouse,Valdez,7211
Evansville,BETTLES,8912
Excursion Inlet,GUSTAVUS,9454
Eyak,CORDOVA,7163
False Pass,COLD BAY,7003
Ferry,CHULITNA,8967
Fishhook,CHULITNA,8967
Flat,SLEETMUTE,6717
Fort Glenn,Saint GEORGE,7669
Fort Greely,BIG DELTA,8883
Fort Yukon,FORT YUKON,9239
Four Mile Road,TANANA,7513
Fox River,ILIAMNA,9506
Fritz Creek,ILIAMNA,9506
Funny River,HAYES River,8636
Gakona,GULKANA,9112
Galena,KALTAG,9154
Gambell,GAMBELL,6875
GAMBELL,GAMBELL,6875
Game Creek,HOONAH,9128
Gateway,CHULITNA,8967
Georgetown,SLEETMUTE,6717
Glacier View,Valdez,7211
Glennallen,GULKANA,9112
Golovin,KOYUK,9308
Goodnews Bay,TOGIAk,8754
Grayling,ANVIK,9339
Gulkana,GULKANA,9112
Gustavus,GUSTAVUS,9454
Haines,SKAGWAY,6717
Halibut Cove,ILIAMNA,9506
Hamilton,EMMONAK,8020
HAYES RIVER,HAYES River,8636
Haystack,BIG DELTA,8883
Healy,CHULITNA,8967
Healy Lake,HEALY Lake,6741
HEALY RIVER AIRPORT,CHULITNA,8967
Hobart Bay,KAKE,8515
Hollis,HYDABURG,8938
Holy Cross,ANVIK,9339
Homer,ILIAMNA,9506
Hoonah,HOONAH,9128
Hooper Bay,EMMONAK,8020
Hope,HAYES River,8636
Houston,HAYES River,8636
Hughes,HUSLIA,8294
Huslia,HUSLIA,8294
Hydaburg,HYDABURG,8938
Hyder,KETCHIKAN,8593
Iditarod,SLEETMUTE,6717
Igiugig,ILIAMNA,9506
Iliamna,ILIAMNA,9506
Ivanof Bay,SAND POINT,7496
Jakolof Bay,KODIAK,8716
Juneau,JUNEAU,8048
Kachemak,ILIAMNA,9506
Kaguyak,KODIAK,8716
Kake,KAKE,8515
Kaktovik,ANAKTUVUK PASS,7788
Kalifornsky,HAYES River,8636
Kaltag,KALTAG,9154
Kanatak,KING SALMON,8870
Karluk,KODIAK,8716
Kasaan,HYDABURG,8938
Kasigluk,BETHEL,8830
Kasilof,HAYES River,8636
Kenai,HAYES River,8636
Kenny Lake,GULKANA,9112
Ketchikan,KETCHIKAN,8593
Kiana,SELAWIK,6717
King Cove,COLD BAY,7003
King Island,NOME,8406
King Salmon,KING SALMON,8870
Kipnuk,BETHEL,8830
Kivalina,NOATAK,8946
Klawock,HYDABURG,8938
Klawock Lake,HYDABURG,8938
Klehini Valley,SKAGWAY,6717
Klukwan,SKAGWAY,6717
Kobuk,AMBLER,7882
Kodiak,KODIAK,8716
Kodiak Station,KODIAK,8716
Kokhanok,ILIAMNA,9506
Koliganek,DILLINGHAM,7580
Kongiganak,BETHEL,8830
Kotlik,EMMONAK,8020
Kotzebue,KOTZEBUE,8593
Koyuk,KOYUK,9308
Koyukuk,KALTAG,9154
Kupreanof,PETERSBURG,7698
Kwethluk,BETHEL,8830
Kwigillingok,BETHEL,8830
Lake Louise,GULKANA,9112
Lake Minchumina,TANANA,7513
Lakes,CHULITNA,8967
Larsen Bay,KODIAK,8716
Levelock,KING SALMON,8870
Lime Village,SLEETMUTE,6717
Litnik,KODIAK,8716
Livengood,TANANA,7513
Loring,KETCHIKAN,8593
Lowell Point,Valdez,7211
Lower Kalskag,ANIAK,9428
Lutak,SKAGWAY,6717
Manley Hot Springs,TANANA,7513
Manokotak,DILLINGHAM,7580
Marshall,BETHEL,8830
Mary's Igloo,NOME,8406
McCarthy,GULKANA,9112
McGrath,SLEETMUTE,6717
McKinley Park,CHULITNA,8967
Medfra,HAYES River,8636
Mekoryuk,BETHEL,8830
Mendeltna,GULKANA,9112
Mentasta Lake,NORTHWAY,8017
Mertarvik,BETHEL,8830
Metlakatla,ANNETTE,8534
Meyers Chuck,KETCHIKAN,8593
Millers Landing,ILIAMNA,9506
Minto,TANANA,7513
Montana Creek,CHULITNA,8967
Moose Creek,BIG DELTA,8883
Moose Pass,Valdez,7211
Mosquito Lake,SKAGWAY,6717
Mountain Point,KETCHIKAN,8593
Mountain Village,EMMONAK,8020
Mud Bay,SKAGWAY,6717
Nabesna,NORTHWAY,8017
Naknek,KING SALMON,8870
Nanwalek,ILIAMNA,9506
Napaimute,ANIAK,9428
Napakiak,BETHEL,8830
Napaskiak,BETHEL,8830
Naukati Bay,HYDABURG,8938
Nelchina,GULKANA,9112
Nelson Lagoon,SAND POINT,7496
Nenana,TANANA,7513
New Allakaket,BETTLES,8912
New Stuyahok,DILLINGHAM,7580
Newhalen,ILIAMNA,9506
Newtok,BETHEL,8830
Nightmute,BETHEL,8830
Nikiski,HAYES River,8636
Nikolaevsk,ILIAMNA,9506
Nikolai,HAYES River,8636
Nikolski,Saint GEORGE,7669
Ninilchik,ILIAMNA,9506
Noatak,NOATAK,8946
Nome,NOME,8406
Nondalton,ILIAMNA,9506
Noorvik,SELAWIK,6717
North Lakes,CHULITNA,8967
North Pole,BIG DELTA,8883
Northway,NORTHWAY,8017
Northway Junction,NORTHWAY,8017
Northway Village,NORTHWAY,8017
Nuiqsut,ANAKTUVUK PASS,7788
Nulato,KALTAG,9154
Nunam Iqua,EMMONAK,8020
Nunapitchuk,BETHEL,8830
Nunivak Island,BETHEL,8830
Old Harbor,KODIAK,8716
Ophir,SLEETMUTE,6717
Oscarville,BETHEL,8830
Ouzinkie,KODIAK,8716
Paimiut,EMMONAK,8020
Palmer,CHULITNA,8967
Pauloff Harbor,COLD BAY,7003
Paxson,GULKANA,9112
Pedro Bay,ILIAMNA,9506
Pelican,ELFIN COVE,8210
Pennock Island,KETCHIKAN,8593
Perryville,SAND POINT,7496
Peters Creek,HAYES River,8636
Petersburg,PETERSBURG,7698
PETERSBURG,PETERSBURG,7698
Petersville,CHULITNA,8967
Pile Bay,ILIAMNA,9506
Pilot Point,PORT HEIDEN,7669
Pilot Station,EMMONAK,8020
Pitkas Point,EMMONAK,8020
Platinum,TOGIAk,8754
Point Baker,PETERSBURG,7698
Point Hope,NOATAK,8946
Point Lay,POINT LAY,7621
Point Possession,HAYES River,8636
Poorman,KALTAG,9154
Port Alexander,KAKE,8515
PORT ALEXANDER,KAKE,8515
Port Alsworth,ILIAMNA,9506
Port Clarence,NOME,8406
Port Graham,KODIAK,8716
Port Heiden,PORT HEIDEN,7669
Port Lions,KODIAK,8716
Port Moller,SAND POINT,7496
Port Protection,PETERSBURG,7698
Port William,KODIAK,8716
Portage,Valdez,7211
Portage Creek,DILLINGHAM,7580
Portlock,KODIAK,8716
Primrose,Valdez,7211
Prince Rupert,ANNETTE,8534
Quinhagak,TOGIAk,8754
Rabbit Creek,HAYES River,8636
Rampart,TANANA,7513
Red Devil,SLEETMUTE,6717
Ruby,HUSLIA,8294
Russian Mission,ANIAK,9428
Saint George,Saint GEORGE,7669
Saint Mary's,EMMONAK,8020
Saint Michael,UNALAKLEET,8430
Saint Paul,Saint PAUL,7669
Salamatof,HAYES River,8636
Salcha,BIG DELTA,8883
Sanak,COLD BAY,7003
Sand Point,SAND POINT,7496
Savoonga,SAVOONGA,7233
SAVOONGA,SAVOONGA,7233
Saxman,KETCHIKAN,8593
Scammon Bay,EMMONAK,8020
Selawik,SELAWIK,6717
SELAWIK,SELAWIK,6717
Seldovia,ILIAMNA,9506
Seldovia Village,ILIAMNA,9506
Seward,Valdez,7211
Shageluk,ANVIK,9339
Shakan Bay,WRANGELL,8889
Shaktoolik,UNALAKLEET,8430
SHEMYa,SHEMYa,6717
Shishmaref,SHISHMAREF,6717
Shungnak,AMBLER,7882
Shuyak Island,KODIAK,8716
Silver Springs,GULKANA,9112
Sitka,SITKA,6717
SITKA JAPONSKI AP,SITKA,6717
Skagway,SKAGWAY,6717
Skwentna,HAYES River,8636
Slana,GULKANA,9112
SLANA AIRPORT,GULKANA,9112
Sleetmute,SLEETMUTE,6717
Soldotna,HAYES River,8636
Solomon,NOME,8406
South Lakes,CHULITNA,8967
South Naknek,KING SALMON,8870
South Van Horn,BIG DELTA,8883
Squaw Harbor,SAND POINT,7496
Stebbins,UNALAKLEET,8430
Steele Creek,BIG DELTA,8883
Sterling,HAYES River,8636
Stevens Village,BETTLES,8912
Stony River,SLEETMUTE,6717
Takotna,SLEETMUTE,6717
Talkeetna,CHULITNA,8967
Tanacross,NORTHWAY,8017
Tanaina,CHULITNA,8967
Tanana,TANANA,7513
Tatitlek,Valdez,7211
Tazlina,GULKANA,9112
Telida,HAYES River,8636
Teller,NOME,8406
Tenakee Springs,HOONAH,9128
Tetlin,NORTHWAY,8017
Thorne Bay,HYDABURG,8938
Togiak,TOGIAk,8754
Tok,NORTHWAY,8017
Toksook Bay,BETHEL,8830
Tolsona,GULKANA,9112
Tonsina,GULKANA,9112
Trapper Creek,CHULITNA,8967
Tuluksak,BETHEL,8830
Tuntutuliak,BETHEL,8830
Tununak,BETHEL,8830
Twin Hills,TOGIAk,8754
Two Rivers,BIG DELTA,8883
Tyonek,HAYES River,8636
Uganik,KODIAK,8716
Ugashik,PORT HEIDEN,7669
Umiat,ANAKTUVUK PASS,7788
Unalakleet,UNALAKLEET,8430
UNALAKLEET FIELD,UNALAKLEET,8430
Unalaska,COLD BAY,7003
Unga,SAND POINT,7496
Upper Kalskag,ANIAK,9428
Uyak,KODIAK,8716
Valdez,Valdez,7211
Venetie,FORT YUKON,9239
Wainwright,BARROW,7342
Wales,SHISHMAREF,6717
Ward Cove,KETCHIKAN,8593
Whale Pass,WRANGELL,8889
White Mountain,NOME,8406
Whitestone,BIG DELTA,8883
Whitestone Logging Camp,HOONAH,9128
Willow,HAYES River,8636
Wiseman,BETTLES,8912
Womens Bay,KODIAK,8716
Wrangell,WRANGELL,8889
Yakutat,YAKUTAT,7562
