Community,Buildings,,,,,,
Adak,42,,,,,,
Akhiok,13,,,,,,
Akiachak,42,,,,,,
Akiak,35,,,,,,
Akutan,21,,,,,,
Alakanuk,33,,,,,,
Aleknagik,24,,,,,,
Allakaket,13,,,,,,
Ambler,20,,,,,,
Anaktuvuk Pass,46,,,,,,
Angoon,28,,,,,,
Aniak,53,,,,,,
Anvik,20,,,,,,
Arctic Village,16,,,,,,
Atka,25,,,,,,
Atmautluak,26,,,,,,
Atqasuk,33,,,,,,
Barrow,195,,,,,,
Beaver,14,,,,,,
Bethel,260,,,,,,
Bettles,14,,,,,,
Birch Creek,11,,,,,,
Brevig Mission,26,,,,,,
Buckland,15,,,,,,
Central,21,,,,,,
Chalkyitsik,16,,,,,,
Chefornak,19,,,,,,
Chenega,19,,,,,,
Chevak,37,,,,,,
Chignik,37,,,,,,
Chignik Lagoon,29,,,,,,
Chignik Lake,25,,,,,,
Chistochina,15,,,,,,
Chitina,21,,,,,,
Chuathbaluk,24,,,,,,
Circle,19,,,,,,
Clark's Point,35,,,,,,
Coffman Cove,31,,,,,,
Cold Bay,38,,,,,,
Copper Center,28,,,,,,
Cordova,117,,,,,,
Covenant Life,16,,,,,,
Craig,89,,,,,,
Crooked Creek,18,,,,,,
Deering,15,,,,,,
Dillingham,111,,,,,,
Diomede,18,,,,,,
Dot Lake Village,12,,,,,,
Dry Creek,22,,,,,,
Eagle,21,,,,,,
Eagle Village,10,,,,,,
Eek,22,,,,,,
Egegik,33,,,,,,
Ekwok,16,,,,,,
Elfin Cove,17,,,,,,
Elim,34,,,,,,
Emmonak,48,,,,,,
Evansville,13,,,,,,
False Pass,18,,,,,,
Fort Yukon,62,,,,,,
Gakona,43,,,,,,
Galena,81,,,,,,
Gambell,23,,,,,,
Glennallen,52,,,,,,
Golovin,27,,,,,,
Goodnews Bay,17,,,,,,
Grayling,22,,,,,,
Gulkana,23,,,,,,
Gustavus,38,,,,,,
Haines/Mud Bay,142,,,,,,
Healy,73,,,,,,
Hollis,18,,,,,,
Holy Cross,31,,,,,,
Hoonah,55,,,,,,
Hooper Bay,33,,,,,,
Hughes,16,,,,,,
Huslia,30,,,,,,
Hydaburg,30,,,,,,
Hyder,13,,,,,,
Igiugig,30,,,,,,
Iliamna,62,,,,,,
Juneau,1221,,,,,,
Kake,6,,,,,,
Kaktovik,36,,,,,,
Kaltag,18,,,,,,
Karluk,11,,,,,,
Kasaan,20,,,,,,
Kasigluk,38,,,,,,
Kenny Lake,42,,,,,,
Ketchikan,261,,,,,,
Kiana,30,,,,,,
King Cove,57,,,,,,
King Salmon,42,,,,,,
Kipnuk,38,,,,,,
Kivalina,36,,,,,,
Klawock,43,,,,,,
Klukwan,23,,,,,,
Kobuk,24,,,,,,
Kodiak,251,,,,,,
Kodiak Station,67,,,,,,
Kokhanok,19,,,,,,
Koliganek,32,,,,,,
Kongiganak,30,,,,,,
Kotlik,38,,,,,,
Kotzebue,145,,,,,,
Koyuk,24,,,,,,
Koyukuk,13,,,,,,
Kupreanof,16,,,,,,
Kwethluk,45,,,,,,
Kwigillingok,28,,,,,,
Lake Minchumina,16,,,,,,
Larsen Bay,31,,,,,,
Levelock,21,,,,,,
Lime Village,12,,,,,,
Lower Kalskag,24,,,,,,
Manley Hot Springs,21,,,,,,
Manokotak,32,,,,,,
Marshall,32,,,,,,
McCarthy,36,,,,,,
McGrath,35,,,,,,
Mekoryuk,34,,,,,,
Mentasta,16,,,,,,
Metlakatla,55,,,,,,
Minto,16,,,,,,
Mosquito Lake,24,,,,,,
Mountain Village,33,,,,,,
Naknek,40,,,,,,
Napakiak,22,,,,,,
Napaskiak,31,,,,,,
Naukati Bay,22,,,,,,
Nelson Lagoon,17,,,,,,
New Allakaket,19,,,,,,
New Stuyahok,29,,,,,,
Newhalen,25,,,,,,
Newtok,31,,,,,,
Nightmute,31,,,,,,
Nikolai,18,,,,,,
Nikolski,21,,,,,,
Noatak,25,,,,,,
Nome,164,,,,,,
Nondalton,17,,,,,,
Noorvik,19,,,,,,
Northway,6,,,,,,
Northway Junction,6,,,,,,
Northway Village,6,,,,,,
Nuiqsut,36,,,,,,
