Community,HDD in ARIS equations
Adak,8647.077
Akhiok,8783.842
Akiachak,12561.55
Akiak,12566.78
Akutan,9259.018
Alakanuk,13296.75
Alatna,15809.54
Alcan Border,15333.89
Aleknagik,11081.84
Aleneva,8829.423
Allakaket,15993.36
Ambler,14860.44
Anaktuvuk Pass,17768.83
Anchor Point,10358.04
Anchorage,10484.18
Anderson,14123.52
Angoon,7523.085
Aniak,12829.34
Anvik,13225.56
Arctic Village,17376
Atka,8827.509
Atmautluak,12546.51
Atqasuk,18971.36
Attu,8827.509
Auke Bay,8173.258
Barrow,19416.28
Beaver,15871.75
Bethel,12542.68
Bettles,15303.46
Big Lake,11368.1
Birch Creek,16312.79
Bird Creek,10036.69
Boundary,14528.62
Brevig Mission,14437.36
Buckland,15494.37
Candle,15494.37
Cantwell,13415.96
Central,15843.58
Chalkyitsik,15773.08
Chefornak,11777.54
Chena Hot Springs,13815.38
Chenega,9420.084
Chevak,13142.87
Chickaloon,11020.38
Chicken,15880.58
Chignik,9556.299
Chignik Lagoon,9556.299
Chignik Lake,9490.401
Chiniak,8708.227
Chistochina,13237.67
Chitina,12165.38
Chuathbaluk,12837.69
Chugiak,10678.35
Circle,15403.54
Circle Hot Springs,15403.54
Clam Gulch,10721.53
Clark's Point,10666.82
Clear,14042.89
Coffman Cove,7403.381
Cold Bay,9571.104
Coldfoot,15248.3
Cooper Landing,10446.03
Copper Center,13281.26
Cordova,9254.005
Craig,7086.434
Crooked Creek,12694.38
Deering,15894.58
Delta Junction,13401.06
Denali National Park,13410.09
Dillingham,10921.5
Diomede,15516.37
Dot Lake,13743.37
Douglas,8523.456
Dry Creek,13743.37
Dutch Harbor,8867.055
Eagle,14528.62
Eagle River,10633.66
Edna Bay,7708.704
Eek,11747.44
Egegik,10256.24
Ekwok,11190.22
Elfin Cove,9556.642
Elim,13772.47
Emmonak,13287.99
Nanwalek,9534.754
Ester,13285.68
Evansville,15300.29
Eyak,11220.38
Fairbanks,13815.38
False Pass,9968.734
Fort Yukon,16174.3
Gakona,13454.2
Galena,14521.23
Gambell,14513.3
Game Creek,9556.642
Girdwood,9626.572
Glennallen,13545.44
Golovin,13683.98
Goodnews Bay,11298.77
Grayling,13178.77
Gulkana,13439.23
Gustavus,8172.784
Haines,8438.96
Halibut Cove,10096.73
Healy,12952.14
Healy Lake,13743.37
Hobart Bay,7851.954
Hollis,7540.863
Holy Cross,12754.69
Homer,10096.73
Hoonah,8233.488
Hooper Bay,13103.97
Hope,10489.53
Houston,11433.53
Hughes,14571.17
Huslia,14702.22
Hydaburg,7039.101
Hyder,8353.235
Igiugig,10753.62
Iliamna,10686.92
Indian,10248.34
Ivanof Bay,8811.641
Jakolof Bay,10096.73
Juneau,8105.286
Kake,7851.954
Kaktovik,19413.74
Kalifonsky,10619.02
Kaltag,14068.11
Karluk,8939.421
Kasaan,7582.807
Kasigluk,12491.08
Kasilof,10814.76
Kenai,10619.02
Kenny Lake,12936.11
Ketchikan,7521.58
Kiana,15182.39
King Cove,9860.35
King Salmon,10929.82
Kipnuk,11675.22
Kivalina,16010.1
Klawock,7351.935
Klukwan,9025.572
Kobuk,14862.94
Kodiak,8829.423
Kokhanok,10802.95
Koliganek,11175.12
Kongiganak,11649.59
Kotlik,13412.63
Kotzebue,15476.34
Koyuk,13822.37
Koyukuk,14141.81
Kupreanof,7863.539
Kwethluk,12543.41
Kwigillingok,11596.33
Lake Minchumina,14590.3
Larsen Bay,8812.883
Levelock,10909.5
Lime Village,12632.17
Livengood,14292.82
Lower Kalskag,12925.68
Manley Hot Springs,14418.07
Manokotak,10827.82
Marshall,12963.8
McCarthy,12979.73
McGrath,13915.72
Mekoryok,12419.57
Mekoryuk,11953.14
Mentasta Lake,13735.75
Metlakatla,6821.724
Meyers Chuck,7582.807
Minchumina,13530.99
Minto,14292.82
Moose Pass,10457.7
Mountain Village,12946.66
Naknek,10687.18
Napaimute,12837.69
Napakiak,12496.58
Napaskiak,12534.35
Naukati,7708.704
Naukati Bay,7708.704
Nelchina,13459.33
Nelson Lagoon,9633.197
Nenana,14015.54
New Allakaket,15993.36
