Community/Power Line,Region,Project,Stream,Distance,Location,Transmission Cost (current),Transmission Cost Source,Construction Cost (2014$),Construction Cost Source,Total Construction Cost,AAEM Capacity (kW),AAEM Capacity Source,AAEM Generation (kWh),Generation Source,Capacity Factor,Phase Completed,LAT,LON,USACE siteGroup,Displaced Heat by Secondary Load(s) (gallons),Operational Costs,Determined to be environmentally Feasibible (Yes/No),Determined to be economically Feasibible (Yes/No),Storage/Run of River,AEA REF Application Number,Year,"Transmission--Road Accessible [Road], Marine Cable [Marine]"
Adak,Aleutians,"Adak (unnamed stream, site #1)","Unnamed Creek, 1",9.381271639,Adak,4690635.82,Calculated Estimate,4176797.447,Report Estimate,8867433.267,201,Report Estimate,1108435.021,Calculated Estimate,0.629520787,reconnaissance,51.89545369,-176.7587485,4,,,,,,,,
Adak,Aleutians,"Adak (unnamed stream, site #2)","Unnamed Creek, 2",12.12336674,Adak,6061683.372,Calculated Estimate,5485527.314,Report Estimate,11547210.69,303,Report Estimate,1670924.435,Calculated Estimate,0.629520787,reconnaissance,51.95398437,-176.7700132,5,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Project,Lake DeMarie,5.137779464,Adak,2568889.732,Calculated Estimate,2111458.671,Calculated Estimate,4680348.403,80,Report Estimate,441168.1677,Calculated Estimate,0.629520787,Reconnaissance,51.83261389,-176.6811556,6,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Project,Lake Bonnie Rose,1.826725153,Adak,913362.5763,Calculated Estimate,6533147.263,Report Estimate,7446509.839,450,Report Estimate,3209499,Report Estimate,0.814180365,Reconnaissance,51.835867,-176.607871,2126,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Project,Lake Betty,3,Adak,1500000,Calculated Estimate,5542579.012,Calculated Estimate,7042579.012,210,Report Estimate,1158066.44,Calculated Estimate,0.629520787,Reconnaissance,51.81444444,-176.6342306,2297,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Project,Heart Lake,1.8,Adak,900000,Calculated Estimate,5014714.344,Calculated Estimate,5914714.344,190,Report Estimate,1047774.398,Calculated Estimate,0.629520787,reconnaissance,51.848725,-176.6881111,2298,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Project,Mount Moffet Creek,4,Adak,2000000,Calculated Estimate,11876955.03,Calculated Estimate,13876955.03,450,Report Estimate,2481570.943,Calculated Estimate,0.629520787,reconnaissance,51.93286944,-176.6460056,2299,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Project,Mount Reed Creek,3.5,Adak,1750000,Calculated Estimate,9501564.02,Calculated Estimate,11251564.02,360,Report Estimate,1985256.754,Calculated Estimate,0.629520787,reconnaissance,51.84972222,-176.7333167,2300,,,,,,,,
Adak,Aleutians,Adak Hydroelectric Feasibility Study – Phase II--Option 1,,,Adak,0,AEA Economical Analysis Round 8,8000000,AEA Economical Analysis Round 8,,440,AEA Economical Analysis Round 8,3200000,AEA Economical Analysis Round 8,,Feasibility,51.8725,-176.62861,,,,,,Run of River,1162,2013,
Akhiok,Kodiak,"Akhiok (unnamed stream, site #1)","Unnamed Creek, 1",6.799240456,Akhiok,3399620.228,Calculated Estimate,7381793.355,Report Estimate,10781413.58,330,Report Estimate,1225714.286,Calculated Estimate,0.424005219,reconnaissance,57.04340797,-154.2678985,20,,,,,,,,
