# Is a community on the road system or southeast Marine Highway system,
name,On Road/SE
Adak,NO
Afognak,NO
Akhiok,NO
Akiachak,NO
Akiak,NO
Akutan,NO
Alakanuk,NO
Alatna,NO
Alcan Border,Yes
Aleknagik,No
Aleneva,No
Allakaket,No
Alpine,Yes
Ambler,No
Anaktuvuk Pass,No
Anchor Point,Yes
Anchorage,Yes
Anderson,Yes
Andreafsky,no
Angoon,Yes
Aniak,NO
Anvik,no
Arctic Village,no
Atka,no
Atmautluak,no
Atqasuk,no
Attu Station,no
Auke Bay,Yes
Ayakulik,no
Badger,Yes
Barrow,no
Bear Creek,Yes
Beaver,no
Belkofski,no
Beluga,Yes
Bethel,no
Bettles,no
Big Delta,Yes
Big Lake,Yes
Bill Moore's Slough,Yes
Birch Creek,no
Brevig Mission,no
Buckland,no
Buffalo Soapstone,no
Butte,Yes
Candle,no
Cantwell,Yes
Central,no
Chalkyitsik,no
Chandalar,no
Chase,no
Chefornak,no
Chena Hot Springs,Yes
Chena Ridge,Yes
Chenega Bay,Yes
Chevak,no
Chickaloon,Yes
Chicken,Yes
Chignik,no
Chignik Lagoon,no
Chignik Lake,no
Chilkat Valley,Yes
Chiniak,no
Chisana,Yes
Chistochina,Yes
Chitina,Yes
Chuathbaluk,no
Chugiak,Yes
Chuloonawick,no
Circle,Yes
Clam Gulch,Yes
Clark's Point,no
Clear,Yes
Coffman Cove,Yes
Cohoe,Yes
Cold Bay,no
Coldfoot,Yes
College,Yes
Cooper Landing,Yes
Copper Center,Yes
Copperville,Yes
Cordova,Yes
Council,no
Covenant Life,Yes
Craig,Yes
Crooked Creek,no
Crown Point,Yes
Cube Cove,no
Deadhorse,no
Deering,no
Delta Junction,Yes
Deltana,Yes
Diamond Ridge,Yes
Dillingham,no
Diomede,no
Dot Lake,Yes
Dot Lake Village,Yes
Douglas,Yes
Dry Creek,Yes
Dutch Harbor,no
Eagle,Yes
Eagle River,Yes
Eagle Village,Yes
Edna Bay,Yes
Eek,no
Egegik,no
Eielson AFB,Yes
Eklutna,Yes
Ekuk,no
Ekwok,no
Elfin Cove,Yes
Elim,no
Emmonak,no
Ester,Yes
Eureka,Yes
