Community/Intertie Served,Project Name,Operational? (1=Yes/ 0=No),Continuing to Operation? (1=Yes/ 0=No),Wind Class,Assumed Capacity Factor,Phase,Proposed Capacity (kW), Proposed Generation (kWh) , Distance to Resource (ft) , Generation Capital Cost , Transmission CAPEX , Total Cost , Operational Costs / year ,Lat/long,Data Source (report reference),notes on feasibility,Other notes
Akiachak,Akiachak Wind Feasibility & Conceptual Design,0,0,2,,Feasibility,,,,,,,,"60.915821, -161.440464",progress reports and wind tracking spreadsheet,,
Akiachak,Akiachak Wind_ANCEC,0,0,2,,Feasibility,300," 2,628,000 ",," $4,250,000 ",,," $32,830 ","60.917, -161.455",H:\AEEE Shared Files\Wind\Renewable Energy Fund\Renewable Energy Fund Projects\Akiachak 669 7040057\Application,,
Bethel,Bethel Wind Power Project Times 4,0,1,4,,Design,1000," 916,584 ",," $3,197,985 ",,,,"60.792808, -161.816982","various files, main source of info was/is Wind Report H:\AEEE Shared Files\Wind\Renewable Energy Fund\Bethel",,"several concurrent grants, no CDR to be found. No cost breakdowns to individual tasks"
Bethel,Bethel Wind Farm Construction (BNC land),0,0,4,,Design,,,,,,," $62,000 ",,,,
Bethel,Bethel Renewable Energy Project,0,1,4,,Construction,1000," 3,050,000 ",," $4,660,750 ",,,,,,,
Buckland,Buckland/Deering/Noorvik Wind Farm Construction,0,1,3,,Construction,200," 466,826 "," 26,800 "," $3,365,000 "," $1,000,000 ",,,"65.964132, -161.284185",Buckland Draft CDR H:\AEEE Shared Files\Wind\_RStromberg Computer Dump\Buck Deer Noor\Buckland,,"grant covers three separate communities, Buckland CDR was used"
Chefornak,Chefornak Wind Heat System,0,0,6,,Feasibility,475," 988,654 "," 1,000 "," $3,844,000 "," $800,000 "," $4,644,000 "," $57,000 ","60.158, -164.278",H:\AEEE Shared Files\Wind\Renewable Energy Fund\Renewable Energy Fund Projects\Chefornak 650 7040056\CDR,,"CDR has gone through several drafts, so generation numbers have not been cemented"
Chignik Lake,Chignik Lake Area Wind-Hydro Final Design,0,0,2,,Feasibility,225," 320,000 ", -   ," $1,600,000 "," $200,000 "," $1,800,000 "," $21,000 ","56.294007, -158.556576","wind tracking spreadsheet and WRA on H:/H:\AEEE Shared Files\Wind\Renewable Energy Fund\Renewable Energy Fund Projects\Chignik Lake 62 #2195409",,feasiblity/recon only; no generation evaluations conducted
Cold Bay,Cold Bay Wind Energy Project,0,0,6,,Feasibility,900," 413,000 "," 8,000 "," $1,940,000 ",,,,"55.203, -162.708",H:\AEEE Shared Files\Wind\Renewable Energy Fund\Renewable Energy Fund Projects\Cold Bay Wind Energy Project 680 #7040004\680_Cold Bay Wind Energy Project,,
Delta Junction,Coal Mine Road Wind  Farm Final Design,0,0,,,Feasibility,,,,,,,,,H:\AEEE Shared Files\Wind\Renewable Energy Fund\Delta Juntion #2195370,,"Data source might be different  project, unsure as no record of ""coal mine road wind farm"" could be found"
Dillingham,Nushagak Community Wind Power Project,0,0,3,,Feasibility,,,,,,,,,,,
Eek,Eek Wind Feasibility,0,0,3,,Feasibility,90," 163,000 ",," $900,000 ",,,,,H:\AEEE Shared Files\Wind\Renewable Energy Fund\Renewable Energy Fund Projects\Eek  639 #7040019\639_AVEC_Eek Wind Feasibility,,
