community,Maximum savings ($/kWh),Nearest Community with Lower Price Power,Distance to Community
Adak,N/A,N/A,N/A
Afognak,N/A,N/A,N/A
Akhiok,N/A,N/A,N/A
Akiachak,0.08,Kwethluk,7.901349094
Akiak,0.11,Kwethluk,7.901349094
Akutan,N/A,N/A,N/A
Alakanuk,0.0885,Nunam Iqua,22.64385857
Alatna,N/A,N/A,N/A
Aleknagik,N/A,N/A,N/A
Aleneva,N/A,N/A,N/A
Allakaket,0.0013,Alatna,1.675515272
Ambler,N/A,N/A,N/A
Anaktuvuk Pass,N/A,N/A,N/A
Andreafsky,N/A,N/A,N/A
Angoon,N/A,N/A,N/A
Aniak,0.1435,Lower Kalskag,10.0526215
Anton Larsen Bay,N/A,N/A,N/A
Anvik,0.0472,Holy Cross,18.06235965
Arctic Village,N/A,N/A,N/A
Atka,N/A,N/A,N/A
Atmautluak,0.2793,Kwethluk,28.08614075
Atqasuk,N/A,N/A,N/A
Ayakulik,N/A,N/A,N/A
Barrow,N/A,N/A,N/A
Beaver,N/A,N/A,N/A
Bethel,0.0758,Kwethluk,13.28915898
Bettles,N/A,N/A,N/A
Brevig Mission,N/A,N/A,N/A
Buckland,N/A,N/A,N/A
Central,N/A,N/A,N/A
Chalkyitsik,N/A,N/A,N/A
Chefornak,0.4747,Kipnuk,17.45914873
Chena Hot Springs,N/A,N/A,N/A
Chenega,N/A,N/A,N/A
Chevak,N/A,N/A,N/A
Chicken,N/A,N/A,N/A
Chignik,N/A,N/A,N/A
Chignik Lagoon,0.201,Chignik,5.346288903
Chignik Lake,0.311,Chignik,14.11465524
Chiniak,0.002,Kodiak,33.58875724
Chisana,N/A,N/A,N/A
Chistochina,0.489,Gakona,27.38268721
Chitina,0.51,Kenny Lake,21.97572757
Chuathbaluk,0.042,Aniak,10.0526215
Circle,0.081,Central,27.82184219
Circle Hot Springs,N/A,N/A,N/A
Clark's Point,N/A,N/A,N/A
Clear,N/A,N/A,N/A
Coffman Cove,N/A,N/A,N/A
Cold Bay,0.4129,King Cove,28.24562555
Coldfoot,N/A,N/A,N/A
Copper Center,N/A,N/A,N/A
Copperville,N/A,N/A,N/A
Cordova,N/A,N/A,N/A
Council,N/A,N/A,N/A
Covenant Life,N/A,N/A,N/A
Craig,N/A,N/A,N/A
Crooked Creek,N/A,N/A,N/A
Deering,N/A,N/A,N/A
Delta Junction,N/A,N/A,N/A
Deltana,N/A,N/A,N/A
Dillingham,0.004,Aleknagik,17.57120425
Diomede,N/A,N/A,N/A
Dot Lake,0.1045,Tanacross,0.823683357
Dot Lake Village,0.1045,Tanacross,0.823683357
Douglas,N/A,N/A,N/A
Eagle,N/A,N/A,N/A
Eagle Village,N/A,N/A,N/A
Edna Bay,N/A,N/A,N/A
Eek,0.1044,Quinhagak,34.56352758
Egegik,N/A,N/A,N/A
Ekuk,N/A,N/A,N/A
Ekwok,0.2071,Koliganek,26.87520397
Elfin Cove,N/A,N/A,N/A
Elim,N/A,N/A,N/A
Emmonak,0.0384,Nunam Iqua,6.9666738
Evansville,N/A,N/A,N/A
Excursion Inlet,N/A,N/A,N/A
Eyak,N/A,N/A,N/A
False Pass,N/A,N/A,N/A
Ferry,N/A,N/A,N/A
Fishhook,N/A,N/A,N/A
Fort Glenn,N/A,N/A,N/A
Fort Yukon,N/A,N/A,N/A
Gakona,N/A,N/A,N/A
Galena,0.0727,Nulato,24.07811672
Gambell,N/A,N/A,N/A
Georgetown,N/A,N/A,N/A
Glennallen,N/A,N/A,N/A
Golovin,0.0021,Elim,30.82769905
Goodnews Bay,N/A,N/A,N/A
Grayling,N/A,N/A,N/A
Gulkana,N/A,N/A,N/A
Gustavus,N/A,N/A,N/A
Haines,0.0048,Covenant Life,21.89315289
Hamilton,N/A,N/A,N/A
Healy Lake,N/A,N/A,N/A
Hobart Bay,N/A,N/A,N/A
Hollis,N/A,N/A,N/A
