City,System Type,Year,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Adak,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Akhiok,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Akiachak,Unknown,2010,,,,,,,,,TRUE,FALSE
Akiak,Circulating/Gravity,2010,1280,711,601,98533,86541,18480,0,0,TRUE,FALSE
Akutan,Pressure/Gravity,2010,928,,,,,,,,FALSE,FALSE
Alakanuk,Circulating/Vacuum,2010,19700,24327,17732,276196,204113,95220,0,0,TRUE,FALSE
Alatna,Washeteria,2010,,,,,,,,,FALSE,FALSE
Aleknagik,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Allakaket,Washeteria,2010,,,,,,,,,TRUE,FALSE
Ambler,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Anaktuvuk Pass,Circulating/Gravity,2010,6373,,,260202.3418,,,0,0,FALSE,FALSE
Anchor Point,Pressure/NA,2010,,,,,,,,,FALSE,FALSE
Anderson,Wells/Gravity,2010,,,,,,,,,FALSE,FALSE
Angoon,Pressure/Gravity,2010,1100,,,,,,,,FALSE,FALSE
Aniak,Wells/ST/DF,2010,1427,,,,,,,,FALSE,FALSE
Anvik,Circulating/Gravity,2010,,,,,,,,,FALSE,TRUE
Arctic Village,Washeteria,2010,,,,,,,,,FALSE,FALSE
Atka,Pressure/Gravity,2010,900,,,,,,,,FALSE,FALSE
Atmautluak,Washeteria,2010,,,,,,,,,FALSE,FALSE
Atqasuk,Circulating/Gravity,2010,1320,,,64536,,,0,0,FALSE,FALSE
Barrow,Circulating/Gravity,2010,17152,,,302982.73,,,,,FALSE,FALSE
Beaver,Closed Haul/Closed Haul,2010,1620,,,,,,,,TRUE,FALSE
Bethel,Circulating/Gravity,2010,35925,15192.65401,,340683.0661,,,0,0,FALSE,FALSE
Bettles,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Birch Creek,Washeteria,2010,,,,,,,,,FALSE,FALSE
Brevig Mission,Circulating/Gravity,2010,2800,12811,2643,118202,89551,605160,0,0,FALSE,FALSE
Buckland,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Cantwell,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Central,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Chalkyitsik,Washeteria,2010,,,,,,,,,FALSE,FALSE
Chase,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Chefornak,Washeteria,2010,2102,2060,765,46022,30819,65358,0,0,TRUE,FALSE
Chenega,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Chevak,Circulating/Vacuum,2010,2584,12134,5727,265409,196045,333325,0,0,FALSE,FALSE
Chickaloon,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Chignik,Circulating/Gravity,2010,600,,,,,,,,FALSE,FALSE
Chignik Lagoon,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Chignik Lake,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Chiniak,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Chistochina,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Chitina,Watering Point,2010,,,,,,,,,FALSE,FALSE
