name,Assumed Wind Class
Adak,6
Akhiok,4
Akiachak,2
Akiak,2
Akutan,6
Alakanuk,4
Alakanuk_intertie,4
Alatna,2
Aleknagik,6
Aleneva,0
Allakaket,2
Allakaket_intertie,2
Ambler,1
Anaktuvuk Pass,2
Angoon,2
Aniak,2
Anvik,2
Arctic Village,2
Atka,6
Atmautluak,6
Atqasuk,3
Barrow,4
Beaver,2
Bethel,4
Bethel_intertie,4
Bettles,2
Bettles_intertie,3
Birch Creek,2
Brevig Mission,7
Buckland,4
Central,2
Chalkyitsik,2
Chefornak,6
Chenega Bay,2
Chevak,6
Chignik,6
Chignik Lagoon,2
Chignik Lake,4
Chilkat Valley_intertie,1
Chiniak,5
Chistochina,2
Chitina,4
Chuathbaluk,2
Circle,2
Clark's Point,4
Coffman Cove,5
Cold Bay,6
Coldfoot,0
Copper Center,2
Cordova,4
Covenant Life,0
Craig,7
Craig_intertie,7
Crooked Creek,2
Deering,3
Dillingham,4
Dillingham_intertie,6
Diomede,7
Dot Lake,2
Dot Lake Village,4
Dry Creek,0
Eagle,2
Eagle Village,4
Eagle_intertie,4
Edna Bay,0
Eek,4
Egegik,4
Ekwok,2
Elfin Cove,7
Elim,4
Emmonak,4
Evansville,3
False Pass,7
Fort Yukon,2
Gakona,2
Galena,2
Gambell,7
Glennallen,2
Glennallen_intertie,4
Golovin,4
Goodnews Bay,6
Grayling,2
Gulkana,2
Gustavus,1
Haines,3
Haines_intertie,3
Healy Lake,2
Hollis,5
Holy Cross,2
Hoonah,4
Hooper Bay,6
Hughes,2
Huslia,2
Hydaburg,4
Hyder,0
Igiugig,2
Iliamna,2
Juneau,6
Kake,3
Kaktovik,5
Kaltag,2
Karluk,2
Kasaan,3
Kasigluk,6
Kasigluk_intertie,6
Kenny Lake,2
Ketchikan,6
Ketchikan_intertie,6
Kiana,2
King Cove,6
King Salmon,4
Kipnuk,6
Kivalina,5
Klawock,3
Klukwan,1
Kobuk,1
Kodiak,6
Kodiak Station,0
Kodiak_intertie,6
Kokhanok,6
Koliganek,4
Kongiganak,6
Kotlik,4
Kotzebue,4
Koyuk,4
Koyukuk,2
Kwethluk,2
Kwigillingok,6
Lake Minchumina,2
Larsen Bay,4
Levelock,2
Lime Village,2
Lower Kalskag,4
Manley Hot Springs,4
Manokotak,4
Marshall,4
McCarthy,2
McGrath,2
Mekoryuk,6
Mendeltna,1
Mentasta Lake,4
Metlakatla,3
Minto,4
Mountain Village,6
Mud Bay,0
Naknek,4
Naknek_intertie,4
Napaimute,0
Napakiak,4
Napaskiak,2
Naukati Bay,0
Nelchina,2
Nelson Lagoon,6
New Allakaket,1
New Stuyahok,4
Newhalen,4
Newhalen_intertie,4
Newtok,6
Nightmute,6
Nikolai,2
Nikolski,6
Noatak,1
Nome,7
Nondalton,2
Noorvik,3
Northway,2
Northway Junction,2
Northway Village,1
Northway_intertie,2
Nuiqsut,3
Nulato,2
Nunam Iqua,4
Nunapitchuk,6
Old Harbor,2
Oscarville,4
Ouzinkie,4
Paxson,0
Pedro Bay,4
Pelican,3
Perryville,6
Petersburg,5
Pilot Point,4
Pilot Station,4
Pitkas Point,6
Platinum,6
Point Hope,6
Point Lay,5
Port Alexander,0
Port Alsworth,2
Port Heiden,4
Port Lions,6
Quinhagak,6
Rampart,2
Red Devil,4
Ruby,2
Russian Mission,2
Saint George,6
Saint Mary's,6
Saint Mary's_intertie,6
Saint Michael,5
Saint Paul,6
Sand Point,6
Savoonga,6
Saxman,3
Scammon Bay,6
Selawik,3
Shageluk,2
Shaktoolik,4
Shishmaref,5
Shungnak,3
Shungnak_intertie,3
Silver Springs,2
Sitka,7
Skagway,3
Slana,2
Slana_intertie,4
Sleetmute,6
South Naknek,4
Stebbins,5
Stevens Village,2
Stony River,2
Takotna,4
Tanacross,2
Tanana,4
Tatitlek,2
Tazlina,2
Telida,2
Teller,5
Tenakee Springs,3
Tetlin,4
Thorne Bay,1
Togiak,4
Tok,4
Tok_intertie,4
Toksook Bay,6
Toksook Bay_intertie,6
Tolsona,4
Tonsina,2
Tuluksak,4
Tuntutuliak,6
Tununak,6
Twin Hills,2
Unalakleet,4
Unalaska,6
Upper Kalskag,4
Upper Kalskag_intertie,4
Valdez,4
Venetie,2
Wainwright,5
Wales,7
Whale Pass,2
White Mountain,3
Wiseman,0
Womens Bay,6
Wrangell,4
Yakutat,2
