Community Name with power generation,Highest Wind Class on Intertie,Plant Intertied,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie,Other Community on Intertie
Alakanuk_intertie,4,No,Emmonak,Alakanuk,,,,,,,,,,,,,,
Allakaket_intertie,2,Yes,Alatna,New Allakaket,Allakaket,,,,,,,,,,,,,
Bethel_intertie,4,Yes,Oscarville,Napakiak,Bethel,,,,,,,,,,,,,
Bettles_intertie,3,Yes,Evansville,Bettles,,,,,,,,,,,,,,
Chilkat Valley_intertie,1,Yes,Klukwan,Chilkat Valley,,,,,,,,,,,,,,
Craig_intertie,7,Yes,Klawock,Hydaburg,Thorne Bay,Kasaan,Hollis,Coffman Cove,Craig,,,,,,,,,
Dillingham_intertie,6,Yes,Aleknagik,Dillingham,,,,,,,,,,,,,,
Eagle_intertie,4,Yes,Eagle Village,Eagle,,,,,,,,,,,,,,
Glennallen_intertie,4,Yes,Gakona,Gulkana,Copper Center,Kenny Lake,Mendeltna,Tazlina,Nelchina,Silver Springs,Tolsona,Tonsina,Nelchina,Valdez,#Sheep Mountain,Copperville,Nabesna,Willow Creek
Haines_intertie,3,Yes,Covenant Life,Mud Bay,Skagway,Haines,,,,,,,,,,,,
Kasigluk_intertie,6,Yes,Nunapitchuk,Kasigluk,,,,,,,,,,,,,,
Ketchikan_intertie,6,Yes,Petersburg,Wrangell,Saxman,Ketchikan,,,,,,,,,,,,
Shungnak_intertie,3,Yes,Kobuk,Shungnak,,,,,,,,,,,,,,
Kodiak_intertie,6,Yes,Womens Bay,Kodiak Station,Port Lions,Kodiak,,,,,,,,,,,,
Upper Kalskag_intertie,4,Yes,Lower Kalskag,Kalskag,,,,,,,,,,,,,,
Naknek_intertie,4,Yes,King Salmon,South Naknek,Naknek,,,,,,,,,,,,,
Newhalen_intertie,4,Yes,Iliamna,Nondalton,Newhalen,,,,,,,,,,,,,
Northway_intertie,2,Yes,Northway Junction,Northway Village,Northway,,,,,,,,,,,,,
Saint Mary's_intertie,6,Yes,Pitkas Point,Saint Mary's,,,,,#Andreafsky,,,,,,,,,
Slana_intertie,4,Yes,Chistochina,Mentasta Lake,Slana,,,,,,,,,,,,,
Tok_intertie,4,Yes,Tanacross,Tetlin,Dot Lake Village,Dot Lake,Tok,,,,,,,,,,,
Toksook Bay_intertie,6,Yes,Nightmute,Tununak,Toksook Bay,,,,,,,,,,,,,
