Community,Wind class to Model (within 1 mile),High Turbulence (Y/N),Phase,Proposed Capacity (kW),Proposed Generation (kWh),Distance to Resource (ft),Generation Capital Cost,Transmission CAPEX,Operational Costs / year,Expected years to operation,Identified Reason for not pursuing project,Data Source (report reference),Project Name,Lat/Long (decimal degrees)
Adak,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Adak,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Akhiok,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Akiachak,3,N,Feasibility,0,0,0,0,0,0,0,,REF Project,,
Akiak,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Akutan,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Alakanuk,4,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Regional Planners,,
Alatna,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Alcan Border,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Aleknagik,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Aleneva,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Allakaket,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ambler,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Anaktuvuk Pass,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Anchor Point,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Anchorage,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Anderson,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Angoon,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Aniak,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Anvik,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Arctic Village,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Atka,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Atmautluak,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Atqasuk,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
