#,,"L=1-3, M=4-5, H=6,7",,,-------Developability Factors--------,,,,,,,Key:  X: serious flaw->low potential,
name,Wind Potential,Wind-Resource,Assumed Wind Class,Wind Developability,Site Accessible ,Permittability,Site Availability,Load,Certainty,Estimated Generation,Estimated Cost,Note,Resource Note
Adak,H,H,6,H,Y,Y,Y,Y,L,,,CONCERN ON EXISTING GEN OVERSIZED,NO MET TOWER
Afognak,,,0,,,,,,,,,,
Akhiok,L,M,4,L,Y,Y,Y,X,M,,,POSSIBLY HIGHER WIND RESOURCE ON RIDGE 500' ELEV TO THE WEST,
Akiachak,L,L,2,M,Y,Y,N,Y,H,,,,
Akiak,L,L,2,M,Y,Y,N,Y,H,,,,
Akutan,L,H,6,L,Y,N,Y,X,L,,,LOAD <100 KW,NO MET TOWER
Alakanuk,M,M,4,H,Y,Y,Y,Y,H,,,OPERATING,
Alatna,L,L,2,L,Y,Y,Y,X,M,,,,
Aleknagik,M,H,6,M,N,Y,Y,Y,M,,,TIE TO DILLINGHAM.  HIGH RESOURCE IN CINNABAR MT.  POSS LARGER WTGS ON CINNABAR. ,"3 MET TOWERS IN DLG AREA, SO GOOD MODERATE OVERALL VALIDATION OF WIND MAP"
Aleneva,,,0,,,,,,,,,,
Allakaket,L,L,2,L,Y,Y,Y,X,M,,,,
Ambler,,,1,,,,,,M,,,,
Anaktuvuk Pass,,,2,,,,,,H,,,Met tower study,
Andreafsky,H,H,6,H,Y,Y,Y,Y,H,,,THROUGH 65% DESIGN,
Angoon,,,2,,,,,,,,,,
Aniak,L,L,2,M,Y,Y,N,Y,H,,,BETTER RESOURCE ACROSS RIVER BUT NEED SUB CABLE,"HIGH CERTAINTY BECAUSE OF OTHER MET TOWERS , UPRIVER"
Anvik,L,L,2,L,Y,Y,Y,X,M,,,,
Arctic Village,L,L,2,L,Y,Y,Y,X,M,,,,
Atka,M,H,6,M,Y,Y,Y,N,L,,,NEED LOAD FROM ATKA PRIDE,NO MET TOWER
Atmautluak,M,H,6,M,Y,Y,Y,Y,H,,,LITTLE LAND,MET TOWER >12
Atqasuk,,,3,,,,,,,,,Met tower study,
Attu,,,0,,,,,,,,,,
Ayakulik,,,0,,,,,,,,,,
Barrow,,,4,,,,,,,,,,
Beaver,L,L,2,L,Y,Y,Y,X,M,,,,
Bethel,H,M,4,H,Y,Y,Y,Y,H,,,"ECON OF SCALE HIGH in Bethel, therefore potential is high (see criteria).",
Bettles,L,L,2,L,N,Y,Y,X,M,,,,
Birch Creek,L,L,2,L,Y,Y,Y,X,M,,,,
Brevig Mission,,,7,,,,,,,,,,
Buckland,,,4,,,,,,,,,,
Central,L,L,2,L,Y,Y,Y,X,M,,,,
Chalkyitsik,L,L,2,L,Y,Y,Y,X,M,,,,
Chandalar,,,0,,,,,,,,,,
Chefornak,H,H,6,H,Y,Y,Y,Y,H,,,,MET TOWER >12
Chena Hot Springs,L,L,2,L,Y,Y,Y,X,M,,,,
Chenega Bay,L,L,2,L,Y,Y,Y,X,M,,,,
Chevak,H,H,6,H,,,,,H,,,OPERATING,
Chignik,L,H,6,L,N,Y,X,Y,H,,,CLASS 5-6 BUT HIGHLY TURBULENT SO NO SITE,MET >12
Chignik Lagoon,L,L,2,L,Y,Y,Y,X,H,,,,MET >12
Chignik Lake,L,M,4,L,Y,Y,Y,X,M,,,See Rich email 4/8/15.  ,MET >12
Chilkat Valley,,,0,,,,,,,,,,
Chiniak,,,5,,,,,,,,,,
Chisana,,,0,,,,,,,,,,
Chistochina,L,L,2,L,Y,Y,Y,X,M,,,,
Chitina,L,M,4,L,N,Y,Y,X,M,,,,MET<12
Chuathbaluk,L,L,2,L,N,N,N,X,M,,,,
Circle,L,L,2,L,Y,Y,Y,X,M,,,,
Clark's Point,L,M,4,L,Y,Y,Y,X,M,,,POTENTIAL BIRD PERMITTING ISSUES.,OTHER MET TOWERS IN AREA (DLG)
Coffman Cove,,,5,,,,,,,,,,
Cold Bay,H,H,6,H,Y,Y,Y,Y,H,,,,MET >12
Coldfoot,,,0,,,,,,,,,,
Copper Center,L,L,2,H,Y,Y,Y,Y,M,,,,
Cordova,M,M,4,H,Y,Y,Y,Y,H,,,,"MET>12 IN TWO SITES, MORE PLANNED"
Covenant Life,,,0,,,,,,,,,,
Craig,,,7,,,,,,,,,,
Crooked Creek,L,L,2,L,X,N,N,X,M,,,,
Deering,,,3,,,,,,,,,,
Dillingham,M,M,4,H,Y,Y,Y,Y,H,,,,
Diomede,,,7,,,,,,,,,,
Dot Lake,L,L,2,H,Y,Y,Y,Y,M,,,TIE TO TOK,
Dot Lake Village,,,4,,,,,,,,,,
Douglas,,,0,,,,,,,,,,
Dry Creek,,,0,,,,,,,,,,
Dutch Harbor,,,0,,,,,,,,,See Unalaska,
Eagle,L,L,2,L,Y,Y,Y,X,M,,,,
Eagle Village,,,4,,,,,,,,,,
Edna Bay,,,0,,,,,,,,,,
Eek,M,M,4,M,N,N,N,Y,M,,,,
Egegik,L,M,4,L,Y,Y,Y,X,M,,,,MET <12
Ekwok,L,L,2,L,N,Y,N,X,M,,,POSS TIE TO NEW STUYAKOK.,
Elfin Cove,,,7,,,,,,,,,But bear in mind the population and electric load is too small to justify an energy project.,
Elim,,,4,,,,,,H,,,Met tower study,
Emmonak,M,M,4,H,Y,Y,Y,Y,H,,,OPERATING,
Evansville,,,3,,,,,,,,,,
Eyak,M,M,4,H,Y,Y,Y,Y,H,,,,"MET>12 IN TWO SITES, MORE PLANNED"
False Pass,L,H,7,L,Y,Y,Y,X,H,,,CDR BY MARSH CR:  NEED RPSU,MET >12
Fort Yukon,L,L,2,H,Y,Y,Y,,M,,,,
Gakona,L,L,2,M,N,Y,Y,Y,H,,,MET TOWER NEAR GAKONA,MET>12
Galena,L,L,2,H,Y,Y,Y,,M,,,,
Gambell,,,7,,,,,,,,,,
Glennallen,L,L,2,H,Y,Y,Y,Y,M,,,,
Golovin,,,4,,,,,,,,,,
Goodnews Bay,H,H,6,H,Y,Y,Y,Y,H,,,,
Grayling,L,L,2,L,Y,Y,Y,X,M,,,,
