City,System Type,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Adak,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Akhiok,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Akiachak,,,,,,,,,,TRUE,FALSE
Akiak,Circulating/Gravity,1280,711,601,98533,86541,18480,0,0,TRUE,FALSE
Akutan,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Alakanuk,Circulating/Vacuum,9860,24327,17732,276196,204113,95220,0,0,TRUE,FALSE
Alatna,Washeteria,,,,,,,,,FALSE,FALSE
Aleknagik,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Allakaket,Washeteria,,,,,,,,,TRUE,FALSE
Ambler,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Anaktuvuk Pass,Circulating/Gravity,6373,0,0,260202.3418,0,0,0,0,FALSE,FALSE
Anchor Point,Pressure/NA,,,,,,,,,FALSE,FALSE
Anderson,Wells/Gravity,,,,,,,,,FALSE,FALSE
Angoon,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Aniak,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Anvik,Circulating/Gravity,,,,,,,,,FALSE,TRUE
Arctic Village,Washeteria,,,,,,,,,FALSE,FALSE
Atka,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Atmautluak,Washeteria,,,,,,,,,FALSE,FALSE
Atqasuk,Circulating/Gravity,12237,0,0,415863.7427,0,0,0,0,FALSE,FALSE
Barrow,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Beaver,Closed Haul/Closed Haul,,,,,,,,,TRUE,FALSE
Bethel,Circulating/Gravity,35925,15192.65401,0,340683.0661,0,0,0,0,FALSE,FALSE
Bettles,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Birch Creek,Washeteria,,,,,,,,,FALSE,FALSE
Brevig Mission,Circulating/Gravity,2800,12811,2643,118202,89551,605160,0,0,FALSE,FALSE
Buckland,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Cantwell,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Central,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Chalkyitsik,Washeteria,,,,,,,,,FALSE,FALSE
Chase,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Chefornak,Washeteria,950,2060,765,46022,30819,65358,0,0,TRUE,FALSE
Chenega,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Chevak,Circulating/Vacuum,2584,12134,5727,265409,196045,333325,0,0,FALSE,FALSE
Chickaloon,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Chignik,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Chignik Lagoon,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Chignik Lake,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Chiniak,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Chistochina,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Chitina,Watering Point,,,,,,,,,FALSE,FALSE
Chuathbaluk,Circulating/Gravity,971,2018,357,25982,24157,151210,0,0,FALSE,FALSE
Circle,Washeteria,,,,,,,,,FALSE,FALSE
Clam Gulch,Wells/ST/DF,,,,,,,,,FALSE,FALSE
Clark'S Point,Pressure/Gravity,,,,,,,,,FALSE,FALSE
